country,year,variant,gender,agebroad,percentagetotalpopulation
364,1955,estimates,female,0_24,57.483334675963
364,1955,estimates,male,0_24,57.0175773579699
364,1955,estimates,female,3_4,6.27114177330489
364,1955,estimates,male,3_4,6.24912063575768
364,1955,estimates,female,3_5,9.04348623496825
364,1955,estimates,male,3_5,8.98181750774828
364,1955,estimates,female,3_6,11.6086836402648
364,1955,estimates,male,3_6,11.4981692510141
364,1955,estimates,female,4_5,5.77793500165414
364,1955,estimates,male,4_5,5.71495339078294
364,1955,estimates,female,4_6,8.34313240695072
364,1955,estimates,male,4_6,8.23130513404879
364,1955,estimates,female,5_10,14.0241327328966
364,1955,estimates,male,5_10,13.7493417113469
364,1955,estimates,female,5_11,15.907146918389
364,1955,estimates,male,5_11,15.6081290583071
364,1955,estimates,female,5_14,21.3399465007198
364,1955,estimates,male,5_14,20.9790452755716
364,1955,estimates,female,6_9,9.27021551806028
364,1955,estimates,male,6_9,9.07238506069931
364,1955,estimates,female,6_10,11.2517882712333
364,1955,estimates,male,6_10,11.0166448393563
364,1955,estimates,female,6_11,13.1348024567257
364,1955,estimates,male,6_11,12.8754321863165
364,1955,estimates,female,6_12,14.9548881748717
364,1955,estimates,male,6_12,14.6790645924627
364,1955,estimates,female,7_10,8.68659086593668
364,1955,estimates,male,7_10,8.50029309609044
364,1955,estimates,female,7_12,12.3896907695751
364,1955,estimates,male,7_12,12.1627128491969
364,1955,estimates,female,11_16,11.0079709745761
364,1955,estimates,male,11_16,10.850866003477
364,1955,estimates,female,11_17,12.8885652426195
364,1955,estimates,male,11_17,12.6899819280202
364,1955,estimates,female,11_18,14.7623136915639
364,1955,estimates,male,11_18,14.5228682311491
364,1955,estimates,female,12_14,5.43279958233074
364,1955,estimates,male,12_14,5.37091621726448
364,1955,estimates,female,12_16,9.12495678908371
364,1955,estimates,male,12_16,8.99207865651681
364,1955,estimates,female,12_17,11.0055510571271
364,1955,estimates,male,12_17,10.83119458106
364,1955,estimates,female,12_18,12.8792995060715
364,1955,estimates,male,12_18,12.6640808841889
364,1955,estimates,female,13_17,9.18546533898108
364,1955,estimates,male,13_17,9.02756217491379
364,1955,estimates,female,13_18,11.0592137879254
364,1955,estimates,male,13_18,10.8604484780427
364,1955,estimates,female,13_19,12.9091026999168
364,1955,estimates,male,13_19,12.6726504121832
364,1955,estimates,female,15plus,60.7564110034496
364,1955,estimates,male,15plus,60.8857974659926
364,1955,estimates,female,15_17,5.5727514747964
364,1955,estimates,male,15_17,5.46027836379551
364,1955,estimates,female,15_24,18.2397456794125
364,1955,estimates,male,15_24,17.9033748239626
364,1955,estimates,female,15_49,47.2031751015118
364,1955,estimates,male,15_49,47.639657222932
364,1955,estimates,female,15_59,53.7404759531848
364,1955,estimates,male,15_59,53.9346035615809
364,1955,estimates,female,15_64,56.1149244269333
364,1955,estimates,male,15_64,56.1529464235338
364,1955,estimates,female,16plus,58.9257540669738
364,1955,estimates,male,16plus,59.0879084669064
364,1955,estimates,female,17plus,57.0642537966966
364,1955,estimates,male,17plus,57.2646350267403
364,1955,estimates,female,18plus,55.1836595286532
364,1955,estimates,male,18plus,55.4255191021971
364,1955,estimates,female,18_23,10.9426119761078
364,1955,estimates,male,18_23,10.7423591667461
364,1955,estimates,female,20plus,51.4600221677175
364,1955,estimates,male,20plus,51.7804308649277
364,1955,estimates,female,20_64,46.8185355912012
364,1955,estimates,male,20_64,47.047579822469
364,1955,estimates,female,20_69,48.8142033021472
364,1955,estimates,male,20_69,49.0174468904516
364,1955,estimates,female,21plus,49.6267011993132
364,1955,estimates,male,21plus,49.9819847452272
364,1955,estimates,female,25plus,42.516665324037
364,1955,estimates,male,25plus,42.9824226420301
364,1955,estimates,female,25_49,28.9634294220993
364,1955,estimates,male,25_49,29.7362823989695
364,1955,estimates,female,25_64,37.8751787475208
364,1955,estimates,male,25_64,38.2495715995713
364,1955,estimates,female,25_69,39.8708464584667
364,1955,estimates,male,25_69,40.2194386675539
364,1955,estimates,female,50plus,13.5532359019377
364,1955,estimates,male,50plus,13.2461402430606
364,1955,estimates,female,60plus,7.01593505026476
364,1955,estimates,male,60plus,6.95119390441168
364,1955,estimates,female,65plus,4.64148657651625
364,1955,estimates,male,65plus,4.73285104245877
364,1955,estimates,female,70plus,2.6458188655703
364,1955,estimates,male,70plus,2.76298397447618
364,1955,estimates,female,75plus,1.27926600931944
364,1955,estimates,male,75plus,1.37307946596241
364,1955,estimates,female,80plus,0.503873513037677
364,1955,estimates,male,80plus,0.50885371015486
364,1960,estimates,female,total,100
364,1960,estimates,male,total,100
364,1960,estimates,female,0_1,7.38983752698491
364,1960,estimates,male,0_1,7.32571819837936
364,1960,estimates,female,0_4,17.8962526727039
364,1960,estimates,male,0_4,17.9752906153206
364,1960,estimates,female,0_14,42.6645964561742
364,1960,estimates,male,0_14,42.7958683263167
364,1960,estimates,female,0_17,47.5661961307518
364,1960,estimates,male,0_17,47.6182089729868
364,1960,estimates,female,0_19,50.6868527818157
364,1960,estimates,male,0_19,50.6882075702877
364,1960,estimates,female,0_24,58.7328612658278
364,1960,estimates,male,0_24,58.5587191445119
364,1960,estimates,female,3_4,6.89722170075206
364,1960,estimates,male,3_4,7.01202772203005
364,1960,estimates,female,3_5,10.1391803339255
364,1960,estimates,male,3_5,10.3202094246612
364,1960,estimates,female,3_6,13.2203313224485
364,1960,estimates,male,3_6,13.4626822897279
364,1960,estimates,female,4_5,6.62859632339469
364,1960,estimates,male,4_5,6.75826994280955
364,1960,estimates,female,4_6,9.7097473119177
364,1960,estimates,male,4_6,9.90074280787622
364,1960,estimates,female,5_10,16.8741878271548
364,1960,estimates,male,5_10,17.0982345649067
364,1960,estimates,female,5_11,19.0538070312015
364,1960,estimates,male,5_11,19.2459029312675
364,1960,estimates,female,5_14,24.7683437834703
364,1960,estimates,male,5_14,24.8205777109961
364,1960,estimates,female,6_9,11.2676375951376
364,1960,estimates,male,6_9,11.4308233203123
364,1960,estimates,female,6_10,13.6322291939813
364,1960,estimates,male,6_10,13.7900528622755
364,1960,estimates,female,6_11,15.811848398028
364,1960,estimates,male,6_11,15.9377212286363
364,1960,estimates,female,6_12,17.8306318261668
364,1960,estimates,male,6_12,17.9074771865717
364,1960,estimates,female,7_10,10.5510782054583
364,1960,estimates,male,7_10,10.6475799972088
364,1960,estimates,female,7_12,14.7494808376438
364,1960,estimates,male,7_12,14.765004321505
