agebroad,gender,percentagetotalpopulation,country,variant,year
13_19,female,8.617,40,estimates,1951
15_17,female,3.652,40,estimates,1951
18_23,female,7.42,40,estimates,1951
15_24,female,12.468,40,estimates,1951
15_49,female,48.758,40,estimates,1951
15_59,female,62.213,40,estimates,1951
15_64,female,67.661,40,estimates,1951
20_64,female,61.655,40,estimates,1951
20_69,female,66.173,40,estimates,1951
25_49,female,36.29,40,estimates,1951
25_64,female,55.193,40,estimates,1951
25_69,female,59.711,40,estimates,1951
15plus,female,79.241,40,estimates,1951
16plus,female,77.989,40,estimates,1951
17plus,female,76.772,40,estimates,1951
18plus,female,75.588,40,estimates,1951
20plus,female,73.235,40,estimates,1951
21plus,female,72.015,40,estimates,1951
25plus,female,66.773,40,estimates,1951
50plus,female,30.483,40,estimates,1951
60plus,female,17.028,40,estimates,1951
65plus,female,11.58,40,estimates,1951
70plus,female,7.062,40,estimates,1951
75plus,female,3.592,40,estimates,1951
80plus,female,1.437,40,estimates,1951
85plus,female,0.427,40,estimates,1951
90plus,female,0.081,40,estimates,1951
total,female,100,40,estimates,1951
0,male,1.458,40,estimates,1951
0_1,male,2.893,40,estimates,1951
0_4,male,7.84,40,estimates,1951
0_14,male,24.843,40,estimates,1951
0_17,male,29.256,40,estimates,1951
0_19,male,32.099,40,estimates,1951
0_24,male,39.519,40,estimates,1951
3_4,male,3.373,40,estimates,1951
3_5,male,5.132,40,estimates,1951
3_6,male,6.916,40,estimates,1951
4_5,male,3.476,40,estimates,1951
4_6,male,5.26,40,estimates,1951
5_14,male,17.003,40,estimates,1951
5_10,male,10.605,40,estimates,1951
5_11,male,12.278,40,estimates,1951
6_9,male,7.126,40,estimates,1951
6_10,male,8.846,40,estimates,1951
6_11,male,10.519,40,estimates,1951
6_12,male,12.139,40,estimates,1951
7_10,male,7.062,40,estimates,1951
7_12,male,10.356,40,estimates,1951
11_16,male,9.376,40,estimates,1951
11_17,male,10.811,40,estimates,1951
11_18,male,12.228,40,estimates,1951
12_14,male,4.725,40,estimates,1951
12_16,male,7.703,40,estimates,1951
12_17,male,9.138,40,estimates,1951
12_18,male,10.555,40,estimates,1951
13_17,male,7.518,40,estimates,1951
13_18,male,8.935,40,estimates,1951
13_19,male,10.361,40,estimates,1951
15_17,male,4.413,40,estimates,1951
18_23,male,8.763,40,estimates,1951
15_24,male,14.676,40,estimates,1951
15_49,male,48.404,40,estimates,1951
15_59,male,60.946,40,estimates,1951
15_64,male,65.575,40,estimates,1951
