agebroad,gender,percentagetotalpopulation,country,variant,year
0_1,female,7.4,600,estimates,1950
0_4,female,17.662,600,estimates,1950
0_14,female,45.276,600,estimates,1950
0_17,female,51.358,600,estimates,1950
0_19,female,55.109,600,estimates,1950
0_24,female,64.122,600,estimates,1950
3_4,female,6.734,600,estimates,1950
3_5,female,9.945,600,estimates,1950
3_6,female,13.054,600,estimates,1950
4_5,female,6.525,600,estimates,1950
4_6,female,9.634,600,estimates,1950
5_14,female,27.614,600,estimates,1950
5_10,female,17.772,600,estimates,1950
5_11,female,20.402,600,estimates,1950
6_9,female,11.843,600,estimates,1950
6_10,female,14.561,600,estimates,1950
6_11,female,17.191,600,estimates,1950
6_12,female,19.721,600,estimates,1950
7_10,female,11.451,600,estimates,1950
7_12,female,16.612,600,estimates,1950
11_16,female,14.004,600,estimates,1950
11_17,female,15.924,600,estimates,1950
11_18,female,17.803,600,estimates,1950
12_14,female,7.211,600,estimates,1950
12_16,female,11.374,600,estimates,1950
12_17,female,13.294,600,estimates,1950
12_18,female,15.173,600,estimates,1950
13_17,female,10.764,600,estimates,1950
13_18,female,12.643,600,estimates,1950
13_19,female,14.515,600,estimates,1950
15_17,female,6.082,600,estimates,1950
18_23,female,11.077,600,estimates,1950
15_24,female,18.846,600,estimates,1950
15_49,female,44.577,600,estimates,1950
15_59,female,49.602,600,estimates,1950
15_64,female,51.377,600,estimates,1950
20_64,female,41.544,600,estimates,1950
20_69,female,42.899,600,estimates,1950
25_49,female,25.731,600,estimates,1950
25_64,female,32.531,600,estimates,1950
25_69,female,33.886,600,estimates,1950
15plus,female,54.724,600,estimates,1950
16plus,female,52.577,600,estimates,1950
17plus,female,50.562,600,estimates,1950
18plus,female,48.642,600,estimates,1950
20plus,female,44.891,600,estimates,1950
21plus,female,43.029,600,estimates,1950
25plus,female,35.878,600,estimates,1950
50plus,female,10.147,600,estimates,1950
60plus,female,5.123,600,estimates,1950
65plus,female,3.347,600,estimates,1950
70plus,female,1.992,600,estimates,1950
75plus,female,1.025,600,estimates,1950
80plus,female,0.423,600,estimates,1950
85plus,female,0.132,600,estimates,1950
90plus,female,0.03,600,estimates,1950
total,female,100,600,estimates,1950
0_1,male,8.024,600,estimates,1950
0_4,male,18.91,600,estimates,1950
0_14,male,48.79,600,estimates,1950
0_17,male,55.291,600,estimates,1950
0_19,male,59.182,600,estimates,1950
0_24,male,68.232,600,estimates,1950
3_4,male,7.124,600,estimates,1950
3_5,male,10.517,600,estimates,1950
3_6,male,13.812,600,estimates,1950
4_5,male,6.894,600,estimates,1950
4_6,male,10.189,600,estimates,1950
5_14,male,29.88,600,estimates,1950
5_10,male,19.017,600,estimates,1950
