country,variant,freq,year,under40mortalityper1000livebirth
512,estimates,5yearly,1950,519.53906
512,estimates,5yearly,1955,456.53967
512,estimates,5yearly,1960,398.63475
512,estimates,5yearly,1965,346.42012
512,estimates,5yearly,1970,297.3702
512,estimates,5yearly,1975,229.2808
512,estimates,5yearly,1980,171.41165
512,estimates,5yearly,1985,127.22715
512,estimates,5yearly,1990,96.29185
512,estimates,5yearly,1995,71.36685
512,estimates,5yearly,2000,52.27433
512,estimates,5yearly,2005,39.3125
512,estimates,5yearly,2010,36.34211
512,medium_variant,5yearly,2015,31.92691
512,medium_variant,5yearly,2020,27.90368
512,medium_variant,5yearly,2025,24.2658
512,medium_variant,5yearly,2030,21.07583
512,medium_variant,5yearly,2035,18.5093200000001
512,medium_variant,5yearly,2040,16.30037
512,medium_variant,5yearly,2045,14.45863
512,medium_variant,5yearly,2050,12.9807700000001
512,medium_variant,5yearly,2055,11.75834
512,medium_variant,5yearly,2060,10.73481
512,medium_variant,5yearly,2065,9.85483999999992
512,medium_variant,5yearly,2070,9.04839999999996
512,medium_variant,5yearly,2075,8.30196999999999
512,medium_variant,5yearly,2080,7.61232000000001
512,medium_variant,5yearly,2085,7.00053
512,medium_variant,5yearly,2090,6.43005000000008
512,medium_variant,5yearly,2095,5.9004399999999
512,estimates,5yearly,Regi,Oman
512,medium_variant,5yearly,Regi,Oman
