variant,continent,year,gender,oldagedependencyratio2564
estimates,905,1950,male,8.274
estimates,905,1951,male,8.545
estimates,905,1952,male,8.778
estimates,905,1953,male,8.959
estimates,905,1954,male,9.089
estimates,905,1955,male,9.187
estimates,905,1956,male,9.462
estimates,905,1957,male,9.693
estimates,905,1958,male,9.866
estimates,905,1959,male,9.978
estimates,905,1960,male,10.038
estimates,905,1961,male,10.292
estimates,905,1962,male,10.505
estimates,905,1963,male,10.659
estimates,905,1964,male,10.738
estimates,905,1965,male,10.743
estimates,905,1966,male,10.886
estimates,905,1967,male,10.939
estimates,905,1968,male,10.916
estimates,905,1969,male,10.847
estimates,905,1970,male,10.762
estimates,905,1971,male,10.934
estimates,905,1972,male,11.054
estimates,905,1973,male,11.106
estimates,905,1974,male,11.082
estimates,905,1975,male,10.995
estimates,905,1976,male,11.215
estimates,905,1977,male,11.381
estimates,905,1978,male,11.486
estimates,905,1979,male,11.548
estimates,905,1980,male,11.602
estimates,905,1981,male,11.734
estimates,905,1982,male,11.835
estimates,905,1983,male,11.89
estimates,905,1984,male,11.893
estimates,905,1985,male,11.851
estimates,905,1986,male,11.968
estimates,905,1987,male,12.038
estimates,905,1988,male,12.074
estimates,905,1989,male,12.095
estimates,905,1990,male,12.114
estimates,905,1991,male,12.257
estimates,905,1992,male,12.382
estimates,905,1993,male,12.484
estimates,905,1994,male,12.554
estimates,905,1995,male,12.593
estimates,905,1996,male,12.732
estimates,905,1997,male,12.832
estimates,905,1998,male,12.887
estimates,905,1999,male,12.891
estimates,905,2000,male,12.848
estimates,905,2001,male,12.905
estimates,905,2002,male,12.92
estimates,905,2003,male,12.911
estimates,905,2004,male,12.894
estimates,905,2005,male,12.883
estimates,905,2006,male,13.004
estimates,905,2007,male,13.122
estimates,905,2008,male,13.238
estimates,905,2009,male,13.355
estimates,905,2010,male,13.479
estimates,905,2011,male,13.692
estimates,905,2012,male,13.897
estimates,905,2013,male,14.116
estimates,905,2014,male,14.383
estimates,905,2015,male,14.719
medium_variant,905,2015,male,14.719
medium_variant,905,2016,male,15.178
medium_variant,905,2017,male,15.685
medium_variant,905,2018,male,16.229
medium_variant,905,2019,male,16.795
medium_variant,905,2020,male,17.377
medium_variant,905,2021,male,18.02
medium_variant,905,2022,male,18.665
medium_variant,905,2023,male,19.322
medium_variant,905,2024,male,20.004
medium_variant,905,2025,male,20.719
medium_variant,905,2026,male,21.471
medium_variant,905,2027,male,22.231
medium_variant,905,2028,male,22.993
medium_variant,905,2029,male,23.75
medium_variant,905,2030,male,24.494
medium_variant,905,2031,male,25.207
medium_variant,905,2032,male,25.885
medium_variant,905,2033,male,26.522
medium_variant,905,2034,male,27.106
medium_variant,905,2035,male,27.636
medium_variant,905,2036,male,28.078
medium_variant,905,2037,male,28.448
medium_variant,905,2038,male,28.758
medium_variant,905,2039,male,29.02
medium_variant,905,2040,male,29.244
medium_variant,905,2041,male,29.397
medium_variant,905,2042,male,29.494
medium_variant,905,2043,male,29.549
medium_variant,905,2044,male,29.586
medium_variant,905,2045,male,29.628
medium_variant,905,2046,male,29.642
medium_variant,905,2047,male,29.635
medium_variant,905,2048,male,29.632
medium_variant,905,2049,male,29.66
medium_variant,905,2050,male,29.74
medium_variant,905,2051,male,29.83
medium_variant,905,2052,male,29.939
medium_variant,905,2053,male,30.081
medium_variant,905,2054,male,30.27
medium_variant,905,2055,male,30.521
medium_variant,905,2056,male,30.782
medium_variant,905,2057,male,31.06
medium_variant,905,2058,male,31.376
medium_variant,905,2059,male,31.752
medium_variant,905,2060,male,32.205
medium_variant,905,2061,male,32.64
medium_variant,905,2062,male,33.107
medium_variant,905,2063,male,33.603
medium_variant,905,2064,male,34.112
medium_variant,905,2065,male,34.623
medium_variant,905,2066,male,35
medium_variant,905,2067,male,35.34
medium_variant,905,2068,male,35.667
medium_variant,905,2069,male,36.01
medium_variant,905,2070,male,36.395
medium_variant,905,2071,male,36.633
medium_variant,905,2072,male,36.865
medium_variant,905,2073,male,37.11
