variant,region,year,populationgrowthrate
estimates,927,1950,2.692
estimates,927,1951,2.553
estimates,927,1952,2.341
estimates,927,1953,2.238
estimates,927,1954,2.208
estimates,927,1955,2.216
estimates,927,1956,2.233
estimates,927,1957,2.235
estimates,927,1958,2.203
estimates,927,1959,2.135
estimates,927,1960,2.044
estimates,927,1961,1.961
estimates,927,1962,1.924
estimates,927,1963,1.961
estimates,927,1964,2.063
estimates,927,1965,2.196
estimates,927,1966,2.312
estimates,927,1967,2.359
estimates,927,1968,2.303
estimates,927,1969,2.151
estimates,927,1970,1.957
estimates,927,1971,1.773
estimates,927,1972,1.606
estimates,927,1973,1.451
estimates,927,1974,1.312
estimates,927,1975,1.18
estimates,927,1976,1.055
estimates,927,1977,0.97
estimates,927,1978,0.958
estimates,927,1979,1.015
estimates,927,1980,1.109
estimates,927,1981,1.204
estimates,927,1982,1.288
estimates,927,1983,1.355
estimates,927,1984,1.401
estimates,927,1985,1.437
estimates,927,1986,1.472
estimates,927,1987,1.492
estimates,927,1988,1.479
estimates,927,1989,1.438
estimates,927,1990,1.382
estimates,927,1991,1.327
estimates,927,1992,1.272
estimates,927,1993,1.216
estimates,927,1994,1.162
estimates,927,1995,1.111
estimates,927,1996,1.065
estimates,927,1997,1.035
estimates,927,1998,1.03
estimates,927,1999,1.049
estimates,927,2000,1.078
estimates,927,2001,1.108
estimates,927,2002,1.157
estimates,927,2003,1.244
estimates,927,2004,1.362
estimates,927,2005,1.498
estimates,927,2006,1.626
estimates,927,2007,1.71
estimates,927,2008,1.723
estimates,927,2009,1.668
estimates,927,2010,1.578
estimates,927,2011,1.487
estimates,927,2012,1.411
estimates,927,2013,1.359
estimates,927,2014,1.33
estimates,927,2015,1.312
medium_variant,927,2015,1.312
medium_variant,927,2016,1.289
medium_variant,927,2017,1.261
medium_variant,927,2018,1.228
medium_variant,927,2019,1.19
medium_variant,927,2020,1.15
medium_variant,927,2021,1.111
medium_variant,927,2022,1.077
medium_variant,927,2023,1.049
medium_variant,927,2024,1.025
medium_variant,927,2025,1.005
medium_variant,927,2026,0.986
medium_variant,927,2027,0.966
medium_variant,927,2028,0.945
medium_variant,927,2029,0.922
medium_variant,927,2030,0.898
medium_variant,927,2031,0.876
medium_variant,927,2032,0.856
medium_variant,927,2033,0.837
medium_variant,927,2034,0.82
medium_variant,927,2035,0.804
medium_variant,927,2036,0.789
medium_variant,927,2037,0.776
medium_variant,927,2038,0.763
medium_variant,927,2039,0.752
medium_variant,927,2040,0.742
medium_variant,927,2041,0.733
medium_variant,927,2042,0.724
medium_variant,927,2043,0.716
medium_variant,927,2044,0.708
medium_variant,927,2045,0.702
medium_variant,927,2046,0.695
medium_variant,927,2047,0.687
medium_variant,927,2048,0.677
medium_variant,927,2049,0.665
medium_variant,927,2050,0.652
medium_variant,927,2051,0.638
medium_variant,927,2052,0.626
medium_variant,927,2053,0.613
medium_variant,927,2054,0.602
medium_variant,927,2055,0.59
medium_variant,927,2056,0.579
medium_variant,927,2057,0.568
medium_variant,927,2058,0.557
medium_variant,927,2059,0.547
medium_variant,927,2060,0.537
medium_variant,927,2061,0.527
medium_variant,927,2062,0.517
medium_variant,927,2063,0.508
medium_variant,927,2064,0.499
medium_variant,927,2065,0.491
medium_variant,927,2066,0.483
medium_variant,927,2067,0.475
medium_variant,927,2068,0.467
medium_variant,927,2069,0.459
medium_variant,927,2070,0.451
medium_variant,927,2071,0.443
medium_variant,927,2072,0.435
medium_variant,927,2073,0.426
medium_variant,927,2074,0.417
medium_variant,927,2075,0.408
medium_variant,927,2076,0.399
medium_variant,927,2077,0.391
medium_variant,927,2078,0.382
medium_variant,927,2079,0.373
medium_variant,927,2080,0.365
medium_variant,927,2081,0.357
medium_variant,927,2082,0.349
medium_variant,927,2083,0.342
medium_variant,927,2084,0.336
medium_variant,927,2085,0.33
medium_variant,927,2086,0.324
medium_variant,927,2087,0.319
medium_variant,927,2088,0.313
medium_variant,927,2089,0.308
medium_variant,927,2090,0.303
medium_variant,927,2091,0.297
medium_variant,927,2092,0.292
medium_variant,927,2093,0.286
medium_variant,927,2094,0.28
medium_variant,927,2095,0.274
medium_variant,927,2096,0.268
medium_variant,927,2097,0.261
medium_variant,927,2098,0.253
medium_variant,927,2099,0.246
