variant,region,year,populationgrowthrate
estimates,931,1950,2.75
estimates,931,1951,2.743
estimates,931,1952,2.725
estimates,931,1953,2.702
estimates,931,1954,2.679
estimates,931,1955,2.66
estimates,931,1956,2.647
estimates,931,1957,2.644
estimates,931,1958,2.652
estimates,931,1959,2.668
estimates,931,1960,2.688
estimates,931,1961,2.704
estimates,931,1962,2.707
estimates,931,1963,2.69
estimates,931,1964,2.655
estimates,931,1965,2.611
estimates,931,1966,2.568
estimates,931,1967,2.525
estimates,931,1968,2.478
estimates,931,1969,2.429
estimates,931,1970,2.379
estimates,931,1971,2.331
estimates,931,1972,2.292
estimates,931,1973,2.268
estimates,931,1974,2.258
estimates,931,1975,2.254
estimates,931,1976,2.248
estimates,931,1977,2.241
estimates,931,1978,2.235
estimates,931,1979,2.227
estimates,931,1980,2.218
estimates,931,1981,2.208
estimates,931,1982,2.189
estimates,931,1983,2.157
estimates,931,1984,2.114
estimates,931,1985,2.064
estimates,931,1986,2.013
estimates,931,1987,1.964
estimates,931,1988,1.916
estimates,931,1989,1.87
estimates,931,1990,1.825
estimates,931,1991,1.779
estimates,931,1992,1.735
estimates,931,1993,1.696
estimates,931,1994,1.66
estimates,931,1995,1.626
estimates,931,1996,1.593
estimates,931,1997,1.557
estimates,931,1998,1.517
estimates,931,1999,1.474
estimates,931,2000,1.43
estimates,931,2001,1.387
estimates,931,2002,1.345
estimates,931,2003,1.304
estimates,931,2004,1.263
estimates,931,2005,1.223
estimates,931,2006,1.184
estimates,931,2007,1.15
estimates,931,2008,1.124
estimates,931,2009,1.105
estimates,931,2010,1.09
estimates,931,2011,1.076
estimates,931,2012,1.058
estimates,931,2013,1.035
estimates,931,2014,1.007
estimates,931,2015,0.977
medium_variant,931,2015,0.977
medium_variant,931,2016,0.946
medium_variant,931,2017,0.917
medium_variant,931,2018,0.888
medium_variant,931,2019,0.86
medium_variant,931,2020,0.831
medium_variant,931,2021,0.803
medium_variant,931,2022,0.775
medium_variant,931,2023,0.748
medium_variant,931,2024,0.721
medium_variant,931,2025,0.695
medium_variant,931,2026,0.67
medium_variant,931,2027,0.644
medium_variant,931,2028,0.618
medium_variant,931,2029,0.593
medium_variant,931,2030,0.568
medium_variant,931,2031,0.543
medium_variant,931,2032,0.518
medium_variant,931,2033,0.494
medium_variant,931,2034,0.47
medium_variant,931,2035,0.447
medium_variant,931,2036,0.424
medium_variant,931,2037,0.401
medium_variant,931,2038,0.379
medium_variant,931,2039,0.357
medium_variant,931,2040,0.335
medium_variant,931,2041,0.314
medium_variant,931,2042,0.292
medium_variant,931,2043,0.272
medium_variant,931,2044,0.251
medium_variant,931,2045,0.231
medium_variant,931,2046,0.212
medium_variant,931,2047,0.192
medium_variant,931,2048,0.173
medium_variant,931,2049,0.154
medium_variant,931,2050,0.136
medium_variant,931,2051,0.117
medium_variant,931,2052,0.099
medium_variant,931,2053,0.08
medium_variant,931,2054,0.062
medium_variant,931,2055,0.044
medium_variant,931,2056,0.026
medium_variant,931,2057,0.009
medium_variant,931,2058,-0.008
medium_variant,931,2059,-0.026
medium_variant,931,2060,-0.042
medium_variant,931,2061,-0.059
medium_variant,931,2062,-0.076
medium_variant,931,2063,-0.092
medium_variant,931,2064,-0.108
medium_variant,931,2065,-0.123
medium_variant,931,2066,-0.139
medium_variant,931,2067,-0.154
medium_variant,931,2068,-0.168
medium_variant,931,2069,-0.183
medium_variant,931,2070,-0.197
medium_variant,931,2071,-0.21
medium_variant,931,2072,-0.223
medium_variant,931,2073,-0.236
medium_variant,931,2074,-0.248
medium_variant,931,2075,-0.259
medium_variant,931,2076,-0.27
medium_variant,931,2077,-0.281
medium_variant,931,2078,-0.29
medium_variant,931,2079,-0.3
medium_variant,931,2080,-0.308
medium_variant,931,2081,-0.316
medium_variant,931,2082,-0.324
medium_variant,931,2083,-0.33
medium_variant,931,2084,-0.336
medium_variant,931,2085,-0.342
medium_variant,931,2086,-0.347
medium_variant,931,2087,-0.352
medium_variant,931,2088,-0.356
medium_variant,931,2089,-0.359
medium_variant,931,2090,-0.362
medium_variant,931,2091,-0.365
medium_variant,931,2092,-0.368
medium_variant,931,2093,-0.37
medium_variant,931,2094,-0.372
medium_variant,931,2095,-0.373
medium_variant,931,2096,-0.375
medium_variant,931,2097,-0.376
medium_variant,931,2098,-0.378
medium_variant,931,2099,-0.379
