variant,region,year,populationgrowthrate
estimates,954,1950,1.951
estimates,954,1951,1.938
estimates,954,1952,1.917
estimates,954,1953,1.928
estimates,954,1954,1.962
estimates,954,1955,2.025
estimates,954,1956,2.107
estimates,954,1957,2.195
estimates,954,1958,2.3
estimates,954,1959,2.4
estimates,954,1960,2.497
estimates,954,1961,2.586
estimates,954,1962,2.655
estimates,954,1963,2.702
estimates,954,1964,2.71
estimates,954,1965,2.7
estimates,954,1966,2.7
estimates,954,1967,2.657
estimates,954,1968,2.53
estimates,954,1969,2.335
estimates,954,1970,2.118
estimates,954,1971,1.919
estimates,954,1972,1.783
estimates,954,1973,1.737
estimates,954,1974,1.781
estimates,954,1975,1.872
estimates,954,1976,1.961
estimates,954,1977,2.083
estimates,954,1978,2.271
estimates,954,1979,2.509
estimates,954,1980,2.772
estimates,954,1981,3.01
estimates,954,1982,3.184
estimates,954,1983,3.264
estimates,954,1984,3.261
estimates,954,1985,3.212
estimates,954,1986,3.144
estimates,954,1987,3.064
estimates,954,1988,2.971
estimates,954,1989,2.872
estimates,954,1990,2.759
estimates,954,1991,2.628
estimates,954,1992,2.479
estimates,954,1993,2.303
estimates,954,1994,2.104
estimates,954,1995,1.898
estimates,954,1996,1.693
estimates,954,1997,1.48
estimates,954,1998,1.241
estimates,954,1999,0.974
estimates,954,2000,0.701
estimates,954,2001,0.445
estimates,954,2002,0.231
estimates,954,2003,0.081
estimates,954,2004,-0.003
estimates,954,2005,-0.044
estimates,954,2006,-0.073
estimates,954,2007,-0.066
estimates,954,2008,0.003
estimates,954,2009,0.127
estimates,954,2010,0.288
estimates,954,2011,0.46
estimates,954,2012,0.612
estimates,954,2013,0.71
estimates,954,2014,0.761
estimates,954,2015,0.79
medium_variant,954,2015,0.79
medium_variant,954,2016,0.816
medium_variant,954,2017,0.837
medium_variant,954,2018,0.85
medium_variant,954,2019,0.858
medium_variant,954,2020,0.855
medium_variant,954,2021,0.847
medium_variant,954,2022,0.841
medium_variant,954,2023,0.839
medium_variant,954,2024,0.843
medium_variant,954,2025,0.848
medium_variant,954,2026,0.851
medium_variant,954,2027,0.848
medium_variant,954,2028,0.835
medium_variant,954,2029,0.815
medium_variant,954,2030,0.79
medium_variant,954,2031,0.764
medium_variant,954,2032,0.738
medium_variant,954,2033,0.712
medium_variant,954,2034,0.688
medium_variant,954,2035,0.663
medium_variant,954,2036,0.637
medium_variant,954,2037,0.613
medium_variant,954,2038,0.589
medium_variant,954,2039,0.565
medium_variant,954,2040,0.54
medium_variant,954,2041,0.515
medium_variant,954,2042,0.49
medium_variant,954,2043,0.469
medium_variant,954,2044,0.444
medium_variant,954,2045,0.418
medium_variant,954,2046,0.395
medium_variant,954,2047,0.374
medium_variant,954,2048,0.356
medium_variant,954,2049,0.341
medium_variant,954,2050,0.327
medium_variant,954,2051,0.314
medium_variant,954,2052,0.303
medium_variant,954,2053,0.292
medium_variant,954,2054,0.283
medium_variant,954,2055,0.274
medium_variant,954,2056,0.263
medium_variant,954,2057,0.257
medium_variant,954,2058,0.25
medium_variant,954,2059,0.239
medium_variant,954,2060,0.233
medium_variant,954,2061,0.227
medium_variant,954,2062,0.217
medium_variant,954,2063,0.209
medium_variant,954,2064,0.203
medium_variant,954,2065,0.195
medium_variant,954,2066,0.185
medium_variant,954,2067,0.176
medium_variant,954,2068,0.164
medium_variant,954,2069,0.152
medium_variant,954,2070,0.142
medium_variant,954,2071,0.128
medium_variant,954,2072,0.114
medium_variant,954,2073,0.102
medium_variant,954,2074,0.088
medium_variant,954,2075,0.074
medium_variant,954,2076,0.06
medium_variant,954,2077,0.044
medium_variant,954,2078,0.029
medium_variant,954,2079,0.015
medium_variant,954,2080,0
medium_variant,954,2081,-0.017
medium_variant,954,2082,-0.032
medium_variant,954,2083,-0.045
medium_variant,954,2084,-0.062
medium_variant,954,2085,-0.077
medium_variant,954,2086,-0.09
medium_variant,954,2087,-0.104
medium_variant,954,2088,-0.116
medium_variant,954,2089,-0.126
medium_variant,954,2090,-0.135
medium_variant,954,2091,-0.145
medium_variant,954,2092,-0.153
medium_variant,954,2093,-0.16
medium_variant,954,2094,-0.167
medium_variant,954,2095,-0.172
medium_variant,954,2096,-0.177
medium_variant,954,2097,-0.181
medium_variant,954,2098,-0.181
medium_variant,954,2099,-0.181
