variant,region,year,populationgrowthrate
estimates,1503,1950,1.143
estimates,1503,1951,1.172
estimates,1503,1952,1.22
estimates,1503,1953,1.247
estimates,1503,1954,1.26
estimates,1503,1955,1.263
estimates,1503,1956,1.26
estimates,1503,1957,1.255
estimates,1503,1958,1.252
estimates,1503,1959,1.251
estimates,1503,1960,1.251
estimates,1503,1961,1.247
estimates,1503,1962,1.232
estimates,1503,1963,1.204
estimates,1503,1964,1.162
estimates,1503,1965,1.113
estimates,1503,1966,1.063
estimates,1503,1967,1.022
estimates,1503,1968,0.996
estimates,1503,1969,0.986
estimates,1503,1970,0.984
estimates,1503,1971,0.982
estimates,1503,1972,0.973
estimates,1503,1973,0.952
estimates,1503,1974,0.92
estimates,1503,1975,0.884
estimates,1503,1976,0.849
estimates,1503,1977,0.819
estimates,1503,1978,0.796
estimates,1503,1979,0.779
estimates,1503,1980,0.766
estimates,1503,1981,0.754
estimates,1503,1982,0.743
estimates,1503,1983,0.734
estimates,1503,1984,0.728
estimates,1503,1985,0.723
estimates,1503,1986,0.719
estimates,1503,1987,0.716
estimates,1503,1988,0.713
estimates,1503,1989,0.71
estimates,1503,1990,0.708
estimates,1503,1991,0.707
estimates,1503,1992,0.704
estimates,1503,1993,0.697
estimates,1503,1994,0.686
estimates,1503,1995,0.674
estimates,1503,1996,0.663
estimates,1503,1997,0.655
estimates,1503,1998,0.651
estimates,1503,1999,0.651
estimates,1503,2000,0.652
estimates,1503,2001,0.652
estimates,1503,2002,0.656
estimates,1503,2003,0.672
estimates,1503,2004,0.698
estimates,1503,2005,0.73
estimates,1503,2006,0.759
estimates,1503,2007,0.772
estimates,1503,2008,0.756
estimates,1503,2009,0.712
estimates,1503,2010,0.653
estimates,1503,2011,0.593
estimates,1503,2012,0.544
estimates,1503,2013,0.512
estimates,1503,2014,0.497
estimates,1503,2015,0.492
medium_variant,1503,2015,0.492
medium_variant,1503,2016,0.486
medium_variant,1503,2017,0.476
medium_variant,1503,2018,0.46
medium_variant,1503,2019,0.44
medium_variant,1503,2020,0.418
medium_variant,1503,2021,0.396
medium_variant,1503,2022,0.378
medium_variant,1503,2023,0.363
medium_variant,1503,2024,0.351
medium_variant,1503,2025,0.341
medium_variant,1503,2026,0.332
medium_variant,1503,2027,0.321
medium_variant,1503,2028,0.308
medium_variant,1503,2029,0.293
medium_variant,1503,2030,0.277
medium_variant,1503,2031,0.261
medium_variant,1503,2032,0.246
medium_variant,1503,2033,0.231
medium_variant,1503,2034,0.217
medium_variant,1503,2035,0.203
medium_variant,1503,2036,0.189
medium_variant,1503,2037,0.175
medium_variant,1503,2038,0.162
medium_variant,1503,2039,0.151
medium_variant,1503,2040,0.139
medium_variant,1503,2041,0.128
medium_variant,1503,2042,0.118
medium_variant,1503,2043,0.109
medium_variant,1503,2044,0.101
medium_variant,1503,2045,0.093
medium_variant,1503,2046,0.086
medium_variant,1503,2047,0.079
medium_variant,1503,2048,0.071
medium_variant,1503,2049,0.064
medium_variant,1503,2050,0.057
medium_variant,1503,2051,0.05
medium_variant,1503,2052,0.043
medium_variant,1503,2053,0.037
medium_variant,1503,2054,0.032
medium_variant,1503,2055,0.027
medium_variant,1503,2056,0.022
medium_variant,1503,2057,0.017
medium_variant,1503,2058,0.014
medium_variant,1503,2059,0.01
medium_variant,1503,2060,0.007
medium_variant,1503,2061,0.005
medium_variant,1503,2062,0.002
medium_variant,1503,2063,0.001
medium_variant,1503,2064,-0.001
medium_variant,1503,2065,-0.002
medium_variant,1503,2066,-0.003
medium_variant,1503,2067,-0.003
medium_variant,1503,2068,-0.004
medium_variant,1503,2069,-0.005
medium_variant,1503,2070,-0.007
medium_variant,1503,2071,-0.007
medium_variant,1503,2072,-0.008
medium_variant,1503,2073,-0.009
medium_variant,1503,2074,-0.009
medium_variant,1503,2075,-0.009
medium_variant,1503,2076,-0.009
medium_variant,1503,2077,-0.009
medium_variant,1503,2078,-0.009
medium_variant,1503,2079,-0.009
medium_variant,1503,2080,-0.01
medium_variant,1503,2081,-0.01
medium_variant,1503,2082,-0.01
medium_variant,1503,2083,-0.01
medium_variant,1503,2084,-0.009
medium_variant,1503,2085,-0.009
medium_variant,1503,2086,-0.008
medium_variant,1503,2087,-0.007
medium_variant,1503,2088,-0.007
medium_variant,1503,2089,-0.006
medium_variant,1503,2090,-0.006
medium_variant,1503,2091,-0.005
medium_variant,1503,2092,-0.005
medium_variant,1503,2093,-0.005
medium_variant,1503,2094,-0.005
medium_variant,1503,2095,-0.006
medium_variant,1503,2096,-0.007
medium_variant,1503,2097,-0.008
medium_variant,1503,2098,-0.01
medium_variant,1503,2099,-0.012
