variant,region,year,populationgrowthrate
estimates,957,1950,2.87
estimates,957,1951,2.765
estimates,957,1952,2.562
estimates,957,1953,2.38
estimates,957,1954,2.235
estimates,957,1955,2.144
estimates,957,1956,2.125
estimates,957,1957,2.194
estimates,957,1958,2.345
estimates,957,1959,2.569
estimates,957,1960,2.834
estimates,957,1961,3.074
estimates,957,1962,3.227
estimates,957,1963,3.252
estimates,957,1964,3.153
estimates,957,1965,3
estimates,957,1966,2.852
estimates,957,1967,2.687
estimates,957,1968,2.481
estimates,957,1969,2.253
estimates,957,1970,2.009
estimates,957,1971,1.769
estimates,957,1972,1.576
estimates,957,1973,1.453
estimates,957,1974,1.396
estimates,957,1975,1.372
estimates,957,1976,1.354
estimates,957,1977,1.349
estimates,957,1978,1.372
estimates,957,1979,1.417
estimates,957,1980,1.474
estimates,957,1981,1.535
estimates,957,1982,1.576
estimates,957,1983,1.576
estimates,957,1984,1.54
estimates,957,1985,1.485
estimates,957,1986,1.43
estimates,957,1987,1.376
estimates,957,1988,1.324
estimates,957,1989,1.273
estimates,957,1990,1.217
estimates,957,1991,1.163
estimates,957,1992,1.119
estimates,957,1993,1.096
estimates,957,1994,1.096
estimates,957,1995,1.106
estimates,957,1996,1.11
estimates,957,1997,1.107
estimates,957,1998,1.097
estimates,957,1999,1.074
estimates,957,2000,1.051
estimates,957,2001,1.027
estimates,957,2002,0.988
estimates,957,2003,0.917
estimates,957,2004,0.819
estimates,957,2005,0.708
estimates,957,2006,0.599
estimates,957,2007,0.514
estimates,957,2008,0.467
estimates,957,2009,0.46
estimates,957,2010,0.469
estimates,957,2011,0.48
estimates,957,2012,0.501
estimates,957,2013,0.537
estimates,957,2014,0.586
estimates,957,2015,0.644
medium_variant,957,2015,0.644
medium_variant,957,2016,0.706
medium_variant,957,2017,0.745
medium_variant,957,2018,0.741
medium_variant,957,2019,0.695
medium_variant,957,2020,0.622
medium_variant,957,2021,0.554
medium_variant,957,2022,0.508
medium_variant,957,2023,0.492
medium_variant,957,2024,0.51
medium_variant,957,2025,0.546
medium_variant,957,2026,0.578
medium_variant,957,2027,0.602
medium_variant,957,2028,0.619
medium_variant,957,2029,0.627
medium_variant,957,2030,0.63
medium_variant,957,2031,0.632
medium_variant,957,2032,0.63
medium_variant,957,2033,0.621
medium_variant,957,2034,0.603
medium_variant,957,2035,0.583
medium_variant,957,2036,0.56
medium_variant,957,2037,0.536
medium_variant,957,2038,0.511
medium_variant,957,2039,0.488
medium_variant,957,2040,0.465
medium_variant,957,2041,0.439
medium_variant,957,2042,0.413
medium_variant,957,2043,0.387
medium_variant,957,2044,0.359
medium_variant,957,2045,0.332
medium_variant,957,2046,0.308
medium_variant,957,2047,0.281
medium_variant,957,2048,0.26
medium_variant,957,2049,0.243
medium_variant,957,2050,0.228
medium_variant,957,2051,0.214
medium_variant,957,2052,0.201
medium_variant,957,2053,0.19
medium_variant,957,2054,0.182
medium_variant,957,2055,0.173
medium_variant,957,2056,0.164
medium_variant,957,2057,0.157
medium_variant,957,2058,0.152
medium_variant,957,2059,0.146
medium_variant,957,2060,0.14
medium_variant,957,2061,0.137
medium_variant,957,2062,0.13
medium_variant,957,2063,0.123
medium_variant,957,2064,0.117
medium_variant,957,2065,0.111
medium_variant,957,2066,0.103
medium_variant,957,2067,0.093
medium_variant,957,2068,0.085
medium_variant,957,2069,0.074
medium_variant,957,2070,0.062
medium_variant,957,2071,0.05
medium_variant,957,2072,0.038
medium_variant,957,2073,0.024
medium_variant,957,2074,0.008
medium_variant,957,2075,-0.006
medium_variant,957,2076,-0.021
medium_variant,957,2077,-0.038
medium_variant,957,2078,-0.054
medium_variant,957,2079,-0.068
medium_variant,957,2080,-0.082
medium_variant,957,2081,-0.098
medium_variant,957,2082,-0.112
medium_variant,957,2083,-0.125
medium_variant,957,2084,-0.138
medium_variant,957,2085,-0.15
medium_variant,957,2086,-0.161
medium_variant,957,2087,-0.172
medium_variant,957,2088,-0.181
medium_variant,957,2089,-0.189
medium_variant,957,2090,-0.197
medium_variant,957,2091,-0.206
medium_variant,957,2092,-0.213
medium_variant,957,2093,-0.22
medium_variant,957,2094,-0.226
medium_variant,957,2095,-0.231
medium_variant,957,2096,-0.239
medium_variant,957,2097,-0.244
medium_variant,957,2098,-0.246
medium_variant,957,2099,-0.251
