variant,region,year,populationgrowthrate
estimates,914,1950,1.531
estimates,914,1951,1.58
estimates,914,1952,1.668
estimates,914,1953,1.741
estimates,914,1954,1.802
estimates,914,1955,1.854
estimates,914,1956,1.899
estimates,914,1957,1.942
estimates,914,1958,1.984
estimates,914,1959,2.025
estimates,914,1960,2.065
estimates,914,1961,2.103
estimates,914,1962,2.136
estimates,914,1963,2.162
estimates,914,1964,2.183
estimates,914,1965,2.2
estimates,914,1966,2.219
estimates,914,1967,2.244
estimates,914,1968,2.278
estimates,914,1969,2.322
estimates,914,1970,2.368
estimates,914,1971,2.413
estimates,914,1972,2.458
estimates,914,1973,2.507
estimates,914,1974,2.557
estimates,914,1975,2.607
estimates,914,1976,2.652
estimates,914,1977,2.689
estimates,914,1978,2.719
estimates,914,1979,2.74
estimates,914,1980,2.756
estimates,914,1981,2.769
estimates,914,1982,2.774
estimates,914,1983,2.766
estimates,914,1984,2.748
estimates,914,1985,2.723
estimates,914,1986,2.698
estimates,914,1987,2.68
estimates,914,1988,2.675
estimates,914,1989,2.681
estimates,914,1990,2.692
estimates,914,1991,2.702
estimates,914,1992,2.705
estimates,914,1993,2.696
estimates,914,1994,2.678
estimates,914,1995,2.657
estimates,914,1996,2.638
estimates,914,1997,2.624
estimates,914,1998,2.615
estimates,914,1999,2.612
estimates,914,2000,2.611
estimates,914,2001,2.611
estimates,914,2002,2.616
estimates,914,2003,2.631
estimates,914,2004,2.654
estimates,914,2005,2.681
estimates,914,2006,2.705
estimates,914,2007,2.723
estimates,914,2008,2.734
estimates,914,2009,2.737
estimates,914,2010,2.735
estimates,914,2011,2.732
estimates,914,2012,2.727
estimates,914,2013,2.718
estimates,914,2014,2.705
estimates,914,2015,2.691
medium_variant,914,2015,2.691
medium_variant,914,2016,2.675
medium_variant,914,2017,2.658
medium_variant,914,2018,2.642
medium_variant,914,2019,2.626
medium_variant,914,2020,2.61
medium_variant,914,2021,2.593
medium_variant,914,2022,2.576
medium_variant,914,2023,2.56
medium_variant,914,2024,2.545
medium_variant,914,2025,2.53
medium_variant,914,2026,2.514
medium_variant,914,2027,2.498
medium_variant,914,2028,2.482
medium_variant,914,2029,2.466
medium_variant,914,2030,2.449
medium_variant,914,2031,2.432
medium_variant,914,2032,2.414
medium_variant,914,2033,2.395
medium_variant,914,2034,2.375
medium_variant,914,2035,2.354
medium_variant,914,2036,2.333
medium_variant,914,2037,2.311
medium_variant,914,2038,2.288
medium_variant,914,2039,2.264
medium_variant,914,2040,2.239
medium_variant,914,2041,2.214
medium_variant,914,2042,2.189
medium_variant,914,2043,2.162
medium_variant,914,2044,2.135
medium_variant,914,2045,2.108
medium_variant,914,2046,2.081
medium_variant,914,2047,2.053
medium_variant,914,2048,2.026
medium_variant,914,2049,1.999
medium_variant,914,2050,1.971
medium_variant,914,2051,1.944
medium_variant,914,2052,1.917
medium_variant,914,2053,1.89
medium_variant,914,2054,1.862
medium_variant,914,2055,1.835
medium_variant,914,2056,1.808
medium_variant,914,2057,1.781
medium_variant,914,2058,1.754
medium_variant,914,2059,1.729
medium_variant,914,2060,1.703
medium_variant,914,2061,1.678
medium_variant,914,2062,1.652
medium_variant,914,2063,1.627
medium_variant,914,2064,1.602
medium_variant,914,2065,1.577
medium_variant,914,2066,1.552
medium_variant,914,2067,1.527
medium_variant,914,2068,1.502
medium_variant,914,2069,1.477
medium_variant,914,2070,1.451
medium_variant,914,2071,1.426
medium_variant,914,2072,1.401
medium_variant,914,2073,1.375
medium_variant,914,2074,1.349
medium_variant,914,2075,1.323
medium_variant,914,2076,1.298
medium_variant,914,2077,1.272
medium_variant,914,2078,1.247
medium_variant,914,2079,1.223
medium_variant,914,2080,1.198
medium_variant,914,2081,1.174
medium_variant,914,2082,1.15
medium_variant,914,2083,1.126
medium_variant,914,2084,1.102
medium_variant,914,2085,1.078
medium_variant,914,2086,1.055
medium_variant,914,2087,1.032
medium_variant,914,2088,1.009
medium_variant,914,2089,0.986
medium_variant,914,2090,0.963
medium_variant,914,2091,0.941
medium_variant,914,2092,0.918
medium_variant,914,2093,0.896
medium_variant,914,2094,0.875
medium_variant,914,2095,0.853
medium_variant,914,2096,0.832
medium_variant,914,2097,0.811
medium_variant,914,2098,0.791
medium_variant,914,2099,0.77
