continent,year,variant,freq,age5yearinterval,noofbirthbymother
904,1950,estimates,5yearly,15_19,4624.653
904,1950,estimates,5yearly,20_24,10394.019
904,1950,estimates,5yearly,25_29,9955.898
904,1950,estimates,5yearly,30_34,6999.121
904,1950,estimates,5yearly,35_39,4328.934
904,1950,estimates,5yearly,40_44,1870.757
904,1950,estimates,5yearly,45_49,532.638
904,1955,estimates,5yearly,15_19,5190.389
904,1955,estimates,5yearly,20_24,11381.891
904,1955,estimates,5yearly,25_29,11035.239
904,1955,estimates,5yearly,30_34,8072.379
904,1955,estimates,5yearly,35_39,4848.039
904,1955,estimates,5yearly,40_44,2046.351
904,1955,estimates,5yearly,45_49,597.718
904,1960,estimates,5yearly,15_19,6051.297
904,1960,estimates,5yearly,20_24,12729.292
904,1960,estimates,5yearly,25_29,12142.27
904,1960,estimates,5yearly,30_34,8935.76
904,1960,estimates,5yearly,35_39,5587.92
904,1960,estimates,5yearly,40_44,2266.317
904,1960,estimates,5yearly,45_49,634.474
904,1965,estimates,5yearly,15_19,6913.295
904,1965,estimates,5yearly,20_24,13851.898
904,1965,estimates,5yearly,25_29,12690.19
904,1965,estimates,5yearly,30_34,9194.967
904,1965,estimates,5yearly,35_39,5780.931
904,1965,estimates,5yearly,40_44,2415.754
904,1965,estimates,5yearly,45_49,619.298
904,1970,estimates,5yearly,15_19,7656.941
904,1970,estimates,5yearly,20_24,15446.903
904,1970,estimates,5yearly,25_29,13368.956
904,1970,estimates,5yearly,30_34,9275.432
904,1970,estimates,5yearly,35_39,5635.635
904,1970,estimates,5yearly,40_44,2367.017
904,1970,estimates,5yearly,45_49,546.217
904,1975,estimates,5yearly,15_19,8517.343
904,1975,estimates,5yearly,20_24,17036.639
904,1975,estimates,5yearly,25_29,14574.534
904,1975,estimates,5yearly,30_34,9287.597
904,1975,estimates,5yearly,35_39,5307.341
904,1975,estimates,5yearly,40_44,2087.575
904,1975,estimates,5yearly,45_49,448.403
904,1980,estimates,5yearly,15_19,9126.573
904,1980,estimates,5yearly,20_24,17989.289
904,1980,estimates,5yearly,25_29,15317.22
904,1980,estimates,5yearly,30_34,9656.282
904,1980,estimates,5yearly,35_39,5053.565
904,1980,estimates,5yearly,40_44,1871.521
904,1980,estimates,5yearly,45_49,381.207
904,1985,estimates,5yearly,15_19,9602.341
904,1985,estimates,5yearly,20_24,18294.752
904,1985,estimates,5yearly,25_29,15397.07
904,1985,estimates,5yearly,30_34,9667.768
904,1985,estimates,5yearly,35_39,4959.386
904,1985,estimates,5yearly,40_44,1653.317
904,1985,estimates,5yearly,45_49,319.561
904,1990,estimates,5yearly,15_19,10090.108
904,1990,estimates,5yearly,20_24,18152.16
904,1990,estimates,5yearly,25_29,15171.838
904,1990,estimates,5yearly,30_34,9541.552
904,1990,estimates,5yearly,35_39,4899.687
904,1990,estimates,5yearly,40_44,1596.019
904,1990,estimates,5yearly,45_49,274.533
904,1995,estimates,5yearly,15_19,10727.752
904,1995,estimates,5yearly,20_24,17581.298
904,1995,estimates,5yearly,25_29,14883.072
904,1995,estimates,5yearly,30_34,9492.191
904,1995,estimates,5yearly,35_39,4831.314
904,1995,estimates,5yearly,40_44,1499.175
904,1995,estimates,5yearly,45_49,242.48
904,2000,estimates,5yearly,15_19,10292.661
904,2000,estimates,5yearly,20_24,16982.256
904,2000,estimates,5yearly,25_29,14442.304
904,2000,estimates,5yearly,30_34,9250.131
904,2000,estimates,5yearly,35_39,4733.611
904,2000,estimates,5yearly,40_44,1431.769
904,2000,estimates,5yearly,45_49,226.26
904,2005,estimates,5yearly,15_19,9508.493
904,2005,estimates,5yearly,20_24,16250.329
904,2005,estimates,5yearly,25_29,14065.661
904,2005,estimates,5yearly,30_34,9075.234
904,2005,estimates,5yearly,35_39,4651.048
904,2005,estimates,5yearly,40_44,1409.531
904,2005,estimates,5yearly,45_49,229.124
904,2010,estimates,5yearly,15_19,9086.768
904,2010,estimates,5yearly,20_24,15786.942
904,2010,estimates,5yearly,25_29,14032.663
904,2010,estimates,5yearly,30_34,9261.466
904,2010,estimates,5yearly,35_39,4804.093
904,2010,estimates,5yearly,40_44,1433.203
904,2010,estimates,5yearly,45_49,240.087
904,2015,constant_fertility,5yearly,15_19,9025.814
904,2015,constant_mortality,5yearly,15_19,8298.032
904,2015,high_variant,5yearly,15_19,9322.258
904,2015,instant_replacement,5yearly,15_19,8623.598
904,2015,low_variant,5yearly,15_19,7275.72
904,2015,medium_variant,5yearly,15_19,8298.994
904,2015,momentum,5yearly,15_19,8672.158
904,2015,no_change,5yearly,15_19,9024.766
904,2015,zero_migration,5yearly,15_19,8313.88
904,2015,constant_fertility,5yearly,20_24,16041.616
904,2015,constant_mortality,5yearly,20_24,15089.818
904,2015,high_variant,5yearly,20_24,16945.542
904,2015,instant_replacement,5yearly,20_24,15635.56
904,2015,low_variant,5yearly,20_24,13238.384
904,2015,medium_variant,5yearly,20_24,15091.949
904,2015,momentum,5yearly,20_24,15736.051
904,2015,no_change,5yearly,20_24,16039.343
904,2015,zero_migration,5yearly,20_24,15130.055
904,2015,constant_fertility,5yearly,25_29,14487.809
904,2015,constant_mortality,5yearly,25_29,13852.693
904,2015,high_variant,5yearly,25_29,15554.577
904,2015,instant_replacement,5yearly,25_29,14338.493
904,2015,low_variant,5yearly,25_29,12155.21
904,2015,medium_variant,5yearly,25_29,13854.869
904,2015,momentum,5yearly,25_29,14433.558
904,2015,no_change,5yearly,25_29,14485.519
904,2015,zero_migration,5yearly,25_29,13893.148
904,2015,constant_fertility,5yearly,30_34,9778.371
904,2015,constant_mortality,5yearly,30_34,9406.117
904,2015,high_variant,5yearly,30_34,10554.577
904,2015,instant_replacement,5yearly,30_34,9676.675
904,2015,low_variant,5yearly,30_34,8261.127
904,2015,medium_variant,5yearly,30_34,9407.894
904,2015,momentum,5yearly,30_34,9737.601
904,2015,no_change,5yearly,30_34,9776.49
904,2015,zero_migration,5yearly,30_34,9430.753
904,2015,constant_fertility,5yearly,35_39,5200.165
904,2015,constant_mortality,5yearly,35_39,4950.646
904,2015,high_variant,5yearly,35_39,5550.514
904,2015,instant_replacement,5yearly,35_39,5054.5
904,2015,low_variant,5yearly,35_39,4353.351
904,2015,medium_variant,5yearly,35_39,4951.882
904,2015,momentum,5yearly,35_39,5085.053
904,2015,no_change,5yearly,35_39,5198.848
904,2015,zero_migration,5yearly,35_39,4962.302
904,2015,constant_fertility,5yearly,40_44,1579.272
904,2015,constant_mortality,5yearly,40_44,1465.589
904,2015,high_variant,5yearly,40_44,1641.601
904,2015,instant_replacement,5yearly,40_44,1484.838
904,2015,low_variant,5yearly,40_44,1290.525
904,2015,medium_variant,5yearly,40_44,1466.097
904,2015,momentum,5yearly,40_44,1493.898
904,2015,no_change,5yearly,40_44,1578.72
904,2015,zero_migration,5yearly,40_44,1468.923
904,2015,constant_fertility,5yearly,45_49,265.456
904,2015,constant_mortality,5yearly,45_49,244.494
904,2015,high_variant,5yearly,45_49,273.51
904,2015,instant_replacement,5yearly,45_49,245.31
904,2015,low_variant,5yearly,45_49,215.724
904,2015,medium_variant,5yearly,45_49,244.616
904,2015,momentum,5yearly,45_49,246.875
904,2015,no_change,5yearly,45_49,265.323
904,2015,zero_migration,5yearly,45_49,245.086
904,2020,constant_fertility,5yearly,15_19,8795.74
904,2020,constant_mortality,5yearly,15_19,7205.553
904,2020,high_variant,5yearly,15_19,8682.227
904,2020,instant_replacement,5yearly,15_19,7740.309
904,2020,low_variant,5yearly,15_19,5734.724
904,2020,medium_variant,5yearly,15_19,7208.458
904,2020,momentum,5yearly,15_19,7829.36
904,2020,no_change,5yearly,15_19,8792.221
904,2020,zero_migration,5yearly,15_19,7241.328
904,2020,constant_fertility,5yearly,20_24,15966.961
904,2020,constant_mortality,5yearly,20_24,13892.494
904,2020,high_variant,5yearly,20_24,16746.279
904,2020,instant_replacement,5yearly,20_24,14961.189
904,2020,low_variant,5yearly,20_24,11053.989
904,2020,medium_variant,5yearly,20_24,13900.123
904,2020,momentum,5yearly,20_24,15165.758
904,2020,no_change,5yearly,20_24,15958.17
904,2020,zero_migration,5yearly,20_24,13993.823
904,2020,constant_fertility,5yearly,25_29,14753.509
904,2020,constant_mortality,5yearly,25_29,13675.554
904,2020,high_variant,5yearly,25_29,16496.323
904,2020,instant_replacement,5yearly,25_29,14781.424
904,2020,low_variant,5yearly,25_29,10871.767
904,2020,medium_variant,5yearly,25_29,13684.036
