continent,year,variant,gender,age1yearinterval,population
904,1950,estimates,female,0,2968.19
904,1950,estimates,male,0,3068.585
904,1950,estimates,female,1,2799.246
904,1950,estimates,male,1,2886.049
904,1950,estimates,female,2,2650.183
904,1950,estimates,male,2,2725.954
904,1950,estimates,female,3,2519.366
904,1950,estimates,male,3,2586.35
904,1950,estimates,female,4,2405.15
904,1950,estimates,male,4,2465.277
904,1950,estimates,female,5,2305.896
904,1950,estimates,male,5,2360.774
904,1950,estimates,female,6,2219.961
904,1950,estimates,male,6,2270.89
904,1950,estimates,female,7,2145.704
904,1950,estimates,male,7,2193.66
904,1950,estimates,female,8,2081.487
904,1950,estimates,male,8,2127.146
904,1950,estimates,female,9,2025.657
904,1950,estimates,male,9,2069.373
904,1950,estimates,female,10,1978.328
904,1950,estimates,male,10,2020.819
904,1950,estimates,female,11,1939.619
904,1950,estimates,male,11,1981.954
904,1950,estimates,female,12,1899.126
904,1950,estimates,male,12,1938.683
904,1950,estimates,female,13,1851.719
904,1950,estimates,male,13,1884.189
904,1950,estimates,female,14,1801.008
904,1950,estimates,male,14,1823.806
904,1950,estimates,female,15,1754.709
904,1950,estimates,male,15,1768.577
904,1950,estimates,female,16,1710.055
904,1950,estimates,male,16,1714.97
904,1950,estimates,female,17,1671.037
904,1950,estimates,male,17,1668.881
904,1950,estimates,female,18,1640.013
904,1950,estimates,male,18,1633.908
904,1950,estimates,female,19,1613.709
904,1950,estimates,male,19,1605.818
904,1950,estimates,female,20,1587.165
904,1950,estimates,male,20,1577.349
904,1950,estimates,female,21,1562.164
904,1950,estimates,male,21,1550.633
904,1950,estimates,female,22,1530.404
904,1950,estimates,male,22,1517.832
904,1950,estimates,female,23,1487.488
904,1950,estimates,male,23,1474.52
904,1950,estimates,female,24,1437.45
904,1950,estimates,male,24,1424.595
904,1950,estimates,female,25,1389.462
904,1950,estimates,male,25,1377.102
904,1950,estimates,female,26,1342.582
904,1950,estimates,male,26,1331.114
904,1950,estimates,female,27,1295.384
904,1950,estimates,male,27,1284.693
904,1950,estimates,female,28,1248.371
904,1950,estimates,male,28,1238.069
904,1950,estimates,female,29,1202.448
904,1950,estimates,male,29,1192.315
904,1950,estimates,female,30,1156.825
904,1950,estimates,male,30,1147.112
904,1950,estimates,female,31,1110.223
904,1950,estimates,male,31,1101.144
904,1950,estimates,female,32,1073.053
904,1950,estimates,male,32,1064.434
904,1950,estimates,female,33,1049.964
904,1950,estimates,male,33,1041.508
904,1950,estimates,female,34,1035.852
904,1950,estimates,male,34,1027.41
904,1950,estimates,female,35,1021.394
904,1950,estimates,male,35,1013.055
904,1950,estimates,female,36,1008.96
904,1950,estimates,male,36,1000.685
904,1950,estimates,female,37,991.169
904,1950,estimates,male,37,983.45
904,1950,estimates,female,38,963.561
904,1950,estimates,male,38,957.145
904,1950,estimates,female,39,929.821
904,1950,estimates,male,39,925.166
