region,year,variant,agebroad,feminityratio_femaleper100male
1502,1960,estimates,5_11,95.3779202077803
1502,1960,estimates,5_14,95.2338640695076
1502,1960,estimates,6_9,95.3723980866598
1502,1960,estimates,6_10,95.3810559768949
1502,1960,estimates,6_11,95.3936297598124
1502,1960,estimates,6_12,95.3855118246648
1502,1960,estimates,7_10,95.3954883486194
1502,1960,estimates,7_12,95.3966602107482
1502,1960,estimates,11_16,94.3597769580612
1502,1960,estimates,11_17,94.0453650642606
1502,1960,estimates,11_18,93.7606441135431
1502,1960,estimates,12_14,94.7771998387637
1502,1960,estimates,12_16,94.0998181140682
1502,1960,estimates,12_17,93.7622377675117
1502,1960,estimates,12_18,93.4650098497467
1502,1960,estimates,13_17,93.4074673741291
1502,1960,estimates,13_18,93.1080249832118
1502,1960,estimates,13_19,92.8673289605802
1502,1960,estimates,15plus,97.4646428699857
1502,1960,estimates,15_17,92.6167401883995
1502,1960,estimates,15_24,91.6444696571473
1502,1960,estimates,15_49,93.3767297341569
1502,1960,estimates,15_59,94.7406129593523
1502,1960,estimates,15_64,95.4074916304335
1502,1960,estimates,16plus,97.5967865923634
1502,1960,estimates,17plus,97.757818967773
1502,1960,estimates,18plus,97.9461440373144
1502,1960,estimates,18_23,91.1736756819949
1502,1960,estimates,20plus,98.386623536663
1502,1960,estimates,20_64,96.0110698192764
1502,1960,estimates,20_69,96.7715870471186
1502,1960,estimates,21plus,98.6379002183465
1502,1960,estimates,25plus,99.834156379309
1502,1960,estimates,25_49,94.3755804202114
1502,1960,estimates,25_64,97.0640389428012
1502,1960,estimates,25_69,97.9413402605101
1502,1960,estimates,50plus,112.94535898256
1502,1960,estimates,60plus,124.421561957451
1502,1960,estimates,65plus,133.909438123541
1502,1960,estimates,70plus,147.935463984616
1502,1960,estimates,75plus,166.630680806205
1502,1960,estimates,80plus,183.506209586757
1502,1960,estimates,85plus,196.976909374221
1502,1960,estimates,90plus,214.41533880573
1502,1965,estimates,total,96.8450853470774
1502,1965,estimates,0_1,94.7865715065724
1502,1965,estimates,0_4,94.9698065512
1502,1965,estimates,0_14,95.3792839165657
1502,1965,estimates,0_17,95.4349479994622
1502,1965,estimates,0_19,95.4012028405497
1502,1965,estimates,0_24,95.0347547139032
1502,1965,estimates,3_4,95.1906912996658
1502,1965,estimates,3_5,95.2532157209283
1502,1965,estimates,3_6,95.3109039647532
1502,1965,estimates,4_5,95.3224302251128
1502,1965,estimates,4_6,95.3786978737097
1502,1965,estimates,5_10,95.5869270224764
1502,1965,estimates,5_11,95.6008617014152
1502,1965,estimates,5_14,95.6366337925355
1502,1965,estimates,6_9,95.6078154546318
1502,1965,estimates,6_10,95.6286412149126
1502,1965,estimates,6_11,95.6379634918013
1502,1965,estimates,6_12,95.643578617851
