country,variant,freq,year,under60mortalityper1000livebirth
324,estimates,5yearly,1950,723.92466
324,estimates,5yearly,1955,705.26671
324,estimates,5yearly,1960,689.17566
324,estimates,5yearly,1965,676.87066
324,estimates,5yearly,1970,657.52068
324,estimates,5yearly,1975,621.91524
324,estimates,5yearly,1980,573.55124
324,estimates,5yearly,1985,493.41278
324,estimates,5yearly,1990,442.48728
324,estimates,5yearly,1995,449.98708
324,estimates,5yearly,2000,468.52403
324,estimates,5yearly,2005,409.32379
324,estimates,5yearly,2010,373.01855
324,medium_variant,5yearly,2015,325.5375
324,medium_variant,5yearly,2020,281.89407
324,medium_variant,5yearly,2025,245.63527
324,medium_variant,5yearly,2030,215.24101
324,medium_variant,5yearly,2035,190.82728
324,medium_variant,5yearly,2040,171.19317
324,medium_variant,5yearly,2045,156.19385
324,medium_variant,5yearly,2050,143.33176
324,medium_variant,5yearly,2055,133.27744
324,medium_variant,5yearly,2060,124.58346
324,medium_variant,5yearly,2065,116.72054
324,medium_variant,5yearly,2070,109.15191
324,medium_variant,5yearly,2075,101.87281
324,medium_variant,5yearly,2080,95.0208800000001
324,medium_variant,5yearly,2085,88.88279
324,medium_variant,5yearly,2090,82.9946300000001
324,medium_variant,5yearly,2095,77.38466
324,estimates,5yearly,Regi,Guinea
324,medium_variant,5yearly,Regi,Guinea
