country,variant,freq,year,under60mortalityper1000livebirth
12,estimates,5yearly,1950,569.75115
12,estimates,5yearly,1955,542.47609
12,estimates,5yearly,1960,512.37166
12,estimates,5yearly,1965,483.4845
12,estimates,5yearly,1970,456.92129
12,estimates,5yearly,1975,408.55417
12,estimates,5yearly,1980,310.63221
12,estimates,5yearly,1985,247.14159
12,estimates,5yearly,1990,227.79704
12,estimates,5yearly,1995,203.4336
12,estimates,5yearly,2000,176.57967
12,estimates,5yearly,2005,148.75417
12,estimates,5yearly,2010,133.27661
12,medium_variant,5yearly,2015,121.52339
12,medium_variant,5yearly,2020,109.57681
12,medium_variant,5yearly,2025,98.8620100000001
12,medium_variant,5yearly,2030,89.42507
12,medium_variant,5yearly,2035,80.67538
12,medium_variant,5yearly,2040,72.65153
12,medium_variant,5yearly,2045,65.44533
12,medium_variant,5yearly,2050,58.821
12,medium_variant,5yearly,2055,52.7780899999999
12,medium_variant,5yearly,2060,47.54476
12,medium_variant,5yearly,2065,42.8800199999999
12,medium_variant,5yearly,2070,38.9292
12,medium_variant,5yearly,2075,35.33234
12,medium_variant,5yearly,2080,32.0134
12,medium_variant,5yearly,2085,28.91734
12,medium_variant,5yearly,2090,26.12921
12,medium_variant,5yearly,2095,23.07981
12,estimates,5yearly,Regi,Algeria
12,medium_variant,5yearly,Regi,Algeria
