variant,continent,year,totalsurvivors_under_one_yearage
Estimates,908,1950,10837.206
Estimates,908,1951,10943.162
Estimates,908,1952,11142.623
Estimates,908,1953,11314.953
Estimates,908,1954,11459.057
Estimates,908,1955,11573.797
Estimates,908,1956,11657.839
Estimates,908,1957,11710.423
Estimates,908,1958,11730.564
Estimates,908,1959,11716.685
Estimates,908,1960,11668.002
Estimates,908,1961,11584.869
Estimates,908,1962,11469.532
Estimates,908,1963,11327.121
Estimates,908,1964,11165.537
Estimates,908,1965,10995.083
Estimates,908,1966,10826.367
Estimates,908,1967,10667.576
Estimates,908,1968,10525.324
Estimates,908,1969,10404.164
Estimates,908,1970,10305.111
Estimates,908,1971,10225.215
Estimates,908,1972,10157.256
Estimates,908,1973,10095.524
Estimates,908,1974,10038.514
Estimates,908,1975,9987.359
Estimates,908,1976,9944.932
Estimates,908,1977,9913.399
Estimates,908,1978,9892.802
Estimates,908,1979,9880.751
Estimates,908,1980,9876.301
Estimates,908,1981,9878.598
Estimates,908,1982,9882.625
Estimates,908,1983,9880.936
Estimates,908,1984,9865.284
Estimates,908,1985,9821.868
Estimates,908,1986,9736.422
Estimates,908,1987,9603.98
Estimates,908,1988,9425.219
Estimates,908,1989,9204.843
Estimates,908,1990,8951.889
Estimates,908,1991,8679.255
Estimates,908,1992,8404.737
Estimates,908,1993,8145.024
Estimates,908,1994,7911.59
Estimates,908,1995,7712.989
Estimates,908,1996,7552.574
Estimates,908,1997,7425.943
Estimates,908,1998,7329.549
Estimates,908,1999,7264.093
Estimates,908,2000,7232.787
Estimates,908,2001,7238.836
Estimates,908,2002,7279.591
Estimates,908,2003,7349.036
Estimates,908,2004,7439.68
Estimates,908,2005,7541.62
Estimates,908,2006,7644.534
Estimates,908,2007,7739.637
Estimates,908,2008,7819.466
Estimates,908,2009,7878.595
Estimates,908,2010,7914.494
Estimates,908,2011,7928.372
Estimates,908,2012,7926.46
Estimates,908,2013,7913.958
Estimates,908,2014,7892.363
Estimates,908,2015,7862.25
Medium_variant,908,2015,7862.25
Medium_variant,908,2016,7823.335
Medium_variant,908,2017,7775.28
Medium_variant,908,2018,7718.538
Medium_variant,908,2019,7654.524
Medium_variant,908,2020,7584.133
Medium_variant,908,2021,7507.988
Medium_variant,908,2022,7427.549
Medium_variant,908,2023,7344.989
Medium_variant,908,2024,7262.857
Medium_variant,908,2025,7183.526
Medium_variant,908,2026,7108.867
Medium_variant,908,2027,7040.202
Medium_variant,908,2028,6979.119
Medium_variant,908,2029,6927.471
Medium_variant,908,2030,6887.362
Medium_variant,908,2031,6860.352
Medium_variant,908,2032,6845.986
Medium_variant,908,2033,6843.237
Medium_variant,908,2034,6851.144
Medium_variant,908,2035,6868.835
Medium_variant,908,2036,6895.301
Medium_variant,908,2037,6928.243
Medium_variant,908,2038,6964.86
Medium_variant,908,2039,7002.465
Medium_variant,908,2040,7038.449
Medium_variant,908,2041,7070.861
Medium_variant,908,2042,7098.687
Medium_variant,908,2043,7120.869
Medium_variant,908,2044,7136.067
Medium_variant,908,2045,7143.112
Medium_variant,908,2046,7141.467
Medium_variant,908,2047,7132.07
Medium_variant,908,2048,7116.023
Medium_variant,908,2049,7094.027
Medium_variant,908,2050,7066.626
Medium_variant,908,2051,7034.341
Medium_variant,908,2052,6998.222
Medium_variant,908,2053,6959.599
Medium_variant,908,2054,6919.886
Medium_variant,908,2055,6880.292
Medium_variant,908,2056,6841.667
Medium_variant,908,2057,6804.58
Medium_variant,908,2058,6769.768
Medium_variant,908,2059,6738.227
Medium_variant,908,2060,6710.959
Medium_variant,908,2061,6688.645
Medium_variant,908,2062,6671.216
Medium_variant,908,2063,6658.44
Medium_variant,908,2064,6650.211
Medium_variant,908,2065,6646.515
Medium_variant,908,2066,6647.195
Medium_variant,908,2067,6651.493
Medium_variant,908,2068,6658.423
Medium_variant,908,2069,6667.057
Medium_variant,908,2070,6676.559
Medium_variant,908,2071,6686.294
Medium_variant,908,2072,6695.701
Medium_variant,908,2073,6704.082
Medium_variant,908,2074,6710.606
Medium_variant,908,2075,6714.455
Medium_variant,908,2076,6715.09
Medium_variant,908,2077,6712.516
Medium_variant,908,2078,6706.778
Medium_variant,908,2079,6697.826
Medium_variant,908,2080,6685.586
Medium_variant,908,2081,6670.101
Medium_variant,908,2082,6651.86
Medium_variant,908,2083,6631.489
Medium_variant,908,2084,6609.554
Medium_variant,908,2085,6586.496
Medium_variant,908,2086,6562.675
Medium_variant,908,2087,6538.452
Medium_variant,908,2088,6514.328
Medium_variant,908,2089,6490.907
Medium_variant,908,2090,6468.679
Medium_variant,908,2091,6448.015
Medium_variant,908,2092,6429.157
Medium_variant,908,2093,6412.242
Medium_variant,908,2094,6397.385
Medium_variant,908,2095,6384.631
Medium_variant,908,2096,6374.045
Medium_variant,908,2097,6365.61
Medium_variant,908,2098,6359.334
Medium_variant,908,2099,6355.209
