variant,continent,year,totalsurvivors_under_one_yearage
estimates,909,1950,326.961
estimates,909,1951,332.175
estimates,909,1952,342.311
estimates,909,1953,351.872
estimates,909,1954,360.841
estimates,909,1955,369.233
estimates,909,1956,377.023
estimates,909,1957,384.219
estimates,909,1958,390.834
estimates,909,1959,396.854
estimates,909,1960,402.295
estimates,909,1961,407.207
estimates,909,1962,411.669
estimates,909,1963,415.826
estimates,909,1964,419.885
estimates,909,1965,424.334
estimates,909,1966,429.728
estimates,909,1967,436.232
estimates,909,1968,443.689
estimates,909,1969,451.716
estimates,909,1970,459.333
estimates,909,1971,465.312
estimates,909,1972,468.817
estimates,909,1973,469.506
estimates,909,1974,467.57
estimates,909,1975,463.773
estimates,909,1976,459.325
estimates,909,1977,455.603
estimates,909,1978,453.672
estimates,909,1979,453.983
estimates,909,1980,456.572
estimates,909,1981,461.03
estimates,909,1982,466.451
estimates,909,1983,472.105
estimates,909,1984,477.744
estimates,909,1985,483.352
estimates,909,1986,489.115
estimates,909,1987,495.282
estimates,909,1988,501.937
estimates,909,1989,508.924
estimates,909,1990,515.931
estimates,909,1991,522.558
estimates,909,1992,528.496
estimates,909,1993,533.54
estimates,909,1994,537.627
estimates,909,1995,540.693
estimates,909,1996,542.755
estimates,909,1997,544.182
estimates,909,1998,545.434
estimates,909,1999,546.93
estimates,909,2000,549.37
estimates,909,2001,553.477
estimates,909,2002,559.522
estimates,909,2003,567.476
estimates,909,2004,577.122
estimates,909,2005,587.878
estimates,909,2006,598.908
estimates,909,2007,609.321
estimates,909,2008,618.444
estimates,909,2009,625.959
estimates,909,2010,631.819
estimates,909,2011,636.266
estimates,909,2012,639.893
estimates,909,2013,643.217
estimates,909,2014,646.439
estimates,909,2015,649.697
medium_variant,909,2015,649.697
medium_variant,909,2016,653.024
medium_variant,909,2017,656.304
medium_variant,909,2018,659.451
medium_variant,909,2019,662.468
medium_variant,909,2020,665.324
medium_variant,909,2021,667.973
medium_variant,909,2022,670.393
medium_variant,909,2023,672.582
medium_variant,909,2024,674.564
medium_variant,909,2025,676.373
medium_variant,909,2026,678.032
medium_variant,909,2027,679.612
medium_variant,909,2028,681.191
medium_variant,909,2029,682.842
medium_variant,909,2030,684.639
medium_variant,909,2031,686.643
medium_variant,909,2032,688.881
medium_variant,909,2033,691.36
medium_variant,909,2034,694.109
medium_variant,909,2035,697.16
medium_variant,909,2036,700.527
medium_variant,909,2037,704.167
medium_variant,909,2038,708.028
medium_variant,909,2039,712.042
medium_variant,909,2040,716.162
medium_variant,909,2041,720.353
medium_variant,909,2042,724.543
medium_variant,909,2043,728.671
medium_variant,909,2044,732.66
medium_variant,909,2045,736.445
medium_variant,909,2046,739.984
medium_variant,909,2047,743.267
medium_variant,909,2048,746.273
medium_variant,909,2049,748.977
medium_variant,909,2050,751.346
medium_variant,909,2051,753.36
medium_variant,909,2052,755.039
medium_variant,909,2053,756.417
medium_variant,909,2054,757.513
medium_variant,909,2055,758.353
medium_variant,909,2056,758.963
medium_variant,909,2057,759.376
medium_variant,909,2058,759.649
medium_variant,909,2059,759.821
medium_variant,909,2060,759.948
medium_variant,909,2061,760.06
medium_variant,909,2062,760.177
medium_variant,909,2063,760.313
medium_variant,909,2064,760.504
medium_variant,909,2065,760.769
medium_variant,909,2066,761.122
medium_variant,909,2067,761.566
medium_variant,909,2068,762.07
medium_variant,909,2069,762.651
medium_variant,909,2070,763.298
medium_variant,909,2071,764.012
medium_variant,909,2072,764.779
medium_variant,909,2073,765.574
medium_variant,909,2074,766.358
medium_variant,909,2075,767.106
medium_variant,909,2076,767.78
medium_variant,909,2077,768.352
medium_variant,909,2078,768.796
medium_variant,909,2079,769.097
medium_variant,909,2080,769.234
medium_variant,909,2081,769.205
medium_variant,909,2082,769.016
medium_variant,909,2083,768.697
medium_variant,909,2084,768.237
medium_variant,909,2085,767.648
medium_variant,909,2086,766.922
medium_variant,909,2087,766.078
medium_variant,909,2088,765.115
medium_variant,909,2089,764.065
medium_variant,909,2090,762.945
medium_variant,909,2091,761.778
medium_variant,909,2092,760.567
medium_variant,909,2093,759.343
medium_variant,909,2094,758.106
medium_variant,909,2095,756.869
medium_variant,909,2096,755.626
medium_variant,909,2097,754.393
medium_variant,909,2098,753.156
medium_variant,909,2099,751.922
