variant,continent,year,totalsurvivors_under_one_yearage
Estimates,904,1950,6456.702
Estimates,904,1951,6527.377
Estimates,904,1952,6675.169
Estimates,904,1953,6835.491
Estimates,904,1954,7008.405
Estimates,904,1955,7193.702
Estimates,904,1956,7390.448
Estimates,904,1957,7597.225
Estimates,904,1958,7811.26
Estimates,904,1959,8027.715
Estimates,904,1960,8240.863
Estimates,904,1961,8444.741
Estimates,904,1962,8633.443
Estimates,904,1963,8803.113
Estimates,904,1964,8952.989
Estimates,904,1965,9085.085
Estimates,904,1966,9204.062
Estimates,904,1967,9317.339
Estimates,904,1968,9431.266
Estimates,904,1969,9549.053
Estimates,904,1970,9673.126
Estimates,904,1971,9804.155
Estimates,904,1972,9939.526
Estimates,904,1973,10076.488
Estimates,904,1974,10213.65
Estimates,904,1975,10349.77
Estimates,904,1976,10483.752
Estimates,904,1977,10614.067
Estimates,904,1978,10738.816
Estimates,904,1979,10856.008
Estimates,904,1980,10963.42
Estimates,904,1981,11059.23
Estimates,904,1982,11142.892
Estimates,904,1983,11214.168
Estimates,904,1984,11272.785
Estimates,904,1985,11317.971
Estimates,904,1986,11349.231
Estimates,904,1987,11368.218
Estimates,904,1988,11377.552
Estimates,904,1989,11380.045
Estimates,904,1990,11380.082
Estimates,904,1991,11382.276
Estimates,904,1992,11389.06
Estimates,904,1993,11401.447
Estimates,904,1994,11419.293
Estimates,904,1995,11441.434
Estimates,904,1996,11465.402
Estimates,904,1997,11486.426
Estimates,904,1998,11499.694
Estimates,904,1999,11501.792
Estimates,904,2000,11487.266
Estimates,904,2001,11451.019
Estimates,904,2002,11393.225
Estimates,904,2003,11316.652
Estimates,904,2004,11225.214
Estimates,904,2005,11126.444
Estimates,904,2006,11029.598
Estimates,904,2007,10942.546
Estimates,904,2008,10870.718
Estimates,904,2009,10816.21
Estimates,904,2010,10778.102
Estimates,904,2011,10752.31
Estimates,904,2012,10731.095
Estimates,904,2013,10707.886
Estimates,904,2014,10679.673
Estimates,904,2015,10644.558
Medium_variant,904,2015,10644.558
Medium_variant,904,2016,10602.287
Medium_variant,904,2017,10554.93
Medium_variant,904,2018,10504.167
Medium_variant,904,2019,10450.209
Medium_variant,904,2020,10393.114
Medium_variant,904,2021,10332.936
Medium_variant,904,2022,10269.924
Medium_variant,904,2023,10204.559
Medium_variant,904,2024,10137.36
Medium_variant,904,2025,10068.854
Medium_variant,904,2026,9999.414
Medium_variant,904,2027,9929.458
Medium_variant,904,2028,9859.438
Medium_variant,904,2029,9789.87
Medium_variant,904,2030,9721.194
Medium_variant,904,2031,9653.649
Medium_variant,904,2032,9587.232
Medium_variant,904,2033,9521.967
Medium_variant,904,2034,9458.022
Medium_variant,904,2035,9395.49
Medium_variant,904,2036,9334.422
Medium_variant,904,2037,9274.689
Medium_variant,904,2038,9216.204
Medium_variant,904,2039,9158.894
Medium_variant,904,2040,9102.774
Medium_variant,904,2041,9047.868
Medium_variant,904,2042,8994.128
Medium_variant,904,2043,8941.392
Medium_variant,904,2044,8889.493
Medium_variant,904,2045,8838.225
Medium_variant,904,2046,8787.377
Medium_variant,904,2047,8736.796
Medium_variant,904,2048,8686.323
Medium_variant,904,2049,8635.851
Medium_variant,904,2050,8585.286
Medium_variant,904,2051,8534.623
Medium_variant,904,2052,8483.966
Medium_variant,904,2053,8433.428
Medium_variant,904,2054,8383.037
Medium_variant,904,2055,8332.798
Medium_variant,904,2056,8282.694
Medium_variant,904,2057,8232.775
Medium_variant,904,2058,8183.102
Medium_variant,904,2059,8133.813
Medium_variant,904,2060,8085.034
Medium_variant,904,2061,8036.921
Medium_variant,904,2062,7989.568
Medium_variant,904,2063,7943.065
Medium_variant,904,2064,7897.48
Medium_variant,904,2065,7852.871
Medium_variant,904,2066,7809.273
Medium_variant,904,2067,7766.583
Medium_variant,904,2068,7724.7
Medium_variant,904,2069,7683.565
Medium_variant,904,2070,7643.114
Medium_variant,904,2071,7603.28
Medium_variant,904,2072,7564.019
Medium_variant,904,2073,7525.235
Medium_variant,904,2074,7486.852
Medium_variant,904,2075,7448.795
Medium_variant,904,2076,7410.987
Medium_variant,904,2077,7373.444
Medium_variant,904,2078,7336.162
Medium_variant,904,2079,7299.123
Medium_variant,904,2080,7262.382
Medium_variant,904,2081,7225.992
Medium_variant,904,2082,7190.001
Medium_variant,904,2083,7154.44
Medium_variant,904,2084,7119.288
Medium_variant,904,2085,7084.494
Medium_variant,904,2086,7049.971
Medium_variant,904,2087,7015.661
Medium_variant,904,2088,6981.516
Medium_variant,904,2089,6947.547
Medium_variant,904,2090,6913.794
Medium_variant,904,2091,6880.323
Medium_variant,904,2092,6847.202
Medium_variant,904,2093,6814.495
Medium_variant,904,2094,6782.261
Medium_variant,904,2095,6750.527
Medium_variant,904,2096,6719.313
Medium_variant,904,2097,6688.635
Medium_variant,904,2098,6658.494
Medium_variant,904,2099,6628.886
