variant,continent,year,totalsurvivors_under_one_yearage
estimates,905,1950,3984.82
estimates,905,1951,4066.112
estimates,905,1952,4219.748
estimates,905,1953,4355.289
estimates,905,1954,4472.677
estimates,905,1955,4571.61
estimates,905,1956,4651.321
estimates,905,1957,4711.22
estimates,905,1958,4749.987
estimates,905,1959,4765.079
estimates,905,1960,4754.11
estimates,905,1961,4715.32
estimates,905,1962,4648.252
estimates,905,1963,4555.174
estimates,905,1964,4441.387
estimates,905,1965,4314.056
estimates,905,1966,4181.179
estimates,905,1967,4051.041
estimates,905,1968,3931.284
estimates,905,1969,3827.649
estimates,905,1970,3743.791
estimates,905,1971,3680.267
estimates,905,1972,3633.404
estimates,905,1973,3600.301
estimates,905,1974,3580.881
estimates,905,1975,3576.107
estimates,905,1976,3587.229
estimates,905,1977,3613.811
estimates,905,1978,3654.218
estimates,905,1979,3706.032
estimates,905,1980,3766.393
estimates,905,1981,3832.33
estimates,905,1982,3900.766
estimates,905,1983,3968.643
estimates,905,1984,4033.368
estimates,905,1985,4093.74
estimates,905,1986,4149.969
estimates,905,1987,4203.004
estimates,905,1988,4252.817
estimates,905,1989,4297.837
estimates,905,1990,4334.502
estimates,905,1991,4358.746
estimates,905,1992,4369.199
estimates,905,1993,4366.474
estimates,905,1994,4352.75
estimates,905,1995,4332.483
estimates,905,1996,4311.425
estimates,905,1997,4295.245
estimates,905,1998,4288.247
estimates,905,1999,4292.493
estimates,905,2000,4309.534
estimates,905,2001,4339.255
estimates,905,2002,4377.298
estimates,905,2003,4418.619
estimates,905,2004,4459.385
estimates,905,2005,4493.152
estimates,905,2006,4513.231
estimates,905,2007,4517.138
estimates,905,2008,4504.997
estimates,905,2009,4478.819
estimates,905,2010,4444.285
estimates,905,2011,4409.395
estimates,905,2012,4382.239
estimates,905,2013,4368.649
estimates,905,2014,4370.776
estimates,905,2015,4388.422
medium_variant,905,2015,4388.422
medium_variant,905,2016,4418.645
medium_variant,905,2017,4454.944
medium_variant,905,2018,4491.609
medium_variant,905,2019,4525.858
medium_variant,905,2020,4555.496
medium_variant,905,2021,4579.543
medium_variant,905,2022,4599.035
medium_variant,905,2023,4614.929
medium_variant,905,2024,4627.253
medium_variant,905,2025,4636.152
medium_variant,905,2026,4642.001
medium_variant,905,2027,4645.719
medium_variant,905,2028,4648.32
medium_variant,905,2029,4650.608
medium_variant,905,2030,4653.398
medium_variant,905,2031,4657.317
medium_variant,905,2032,4662.584
medium_variant,905,2033,4669.373
medium_variant,905,2034,4677.912
medium_variant,905,2035,4688.243
medium_variant,905,2036,4700.178
medium_variant,905,2037,4713.28
medium_variant,905,2038,4727.194
medium_variant,905,2039,4741.797
medium_variant,905,2040,4757.087
medium_variant,905,2041,4773.147
medium_variant,905,2042,4790.089
medium_variant,905,2043,4807.919
medium_variant,905,2044,4826.529
medium_variant,905,2045,4845.882
medium_variant,905,2046,4865.955
medium_variant,905,2047,4886.556
medium_variant,905,2048,4907.401
medium_variant,905,2049,4928.168
medium_variant,905,2050,4948.51
medium_variant,905,2051,4968.119
medium_variant,905,2052,4986.783
medium_variant,905,2053,5004.278
medium_variant,905,2054,5020.401
medium_variant,905,2055,5034.927
medium_variant,905,2056,5047.72
medium_variant,905,2057,5058.93
medium_variant,905,2058,5068.769
medium_variant,905,2059,5077.415
medium_variant,905,2060,5085.066
medium_variant,905,2061,5091.934
medium_variant,905,2062,5098.284
medium_variant,905,2063,5104.394
medium_variant,905,2064,5110.522
medium_variant,905,2065,5116.87
medium_variant,905,2066,5123.555
medium_variant,905,2067,5130.558
medium_variant,905,2068,5137.877
medium_variant,905,2069,5145.571
medium_variant,905,2070,5153.713
medium_variant,905,2071,5162.337
medium_variant,905,2072,5171.384
medium_variant,905,2073,5180.76
medium_variant,905,2074,5190.383
medium_variant,905,2075,5200.194
medium_variant,905,2076,5210.14
medium_variant,905,2077,5220.119
medium_variant,905,2078,5230.002
medium_variant,905,2079,5239.648
medium_variant,905,2080,5248.935
medium_variant,905,2081,5257.768
medium_variant,905,2082,5266.102
medium_variant,905,2083,5273.867
medium_variant,905,2084,5280.977
medium_variant,905,2085,5287.347
medium_variant,905,2086,5292.921
medium_variant,905,2087,5297.72
medium_variant,905,2088,5301.778
medium_variant,905,2089,5305.119
medium_variant,905,2090,5307.788
medium_variant,905,2091,5309.842
medium_variant,905,2092,5311.339
medium_variant,905,2093,5312.332
medium_variant,905,2094,5312.861
medium_variant,905,2095,5312.953
medium_variant,905,2096,5312.625
medium_variant,905,2097,5311.886
medium_variant,905,2098,5310.733
medium_variant,905,2099,5309.17
