variant,continent,year,gender,childdependencyratio1564
estimates,908,1950,male,44.308
estimates,908,1951,male,44.269
estimates,908,1952,male,43.525
estimates,908,1953,male,42.824
estimates,908,1954,male,42.516
estimates,908,1955,male,42.626
estimates,908,1956,male,42.87
estimates,908,1957,male,43.596
estimates,908,1958,male,44.515
estimates,908,1959,male,45.267
estimates,908,1960,male,45.67
estimates,908,1961,male,45.885
estimates,908,1962,male,45.781
estimates,908,1963,male,45.425
estimates,908,1964,male,44.969
estimates,908,1965,male,44.489
estimates,908,1966,male,44.083
estimates,908,1967,male,43.603
estimates,908,1968,male,43.065
estimates,908,1969,male,42.479
estimates,908,1970,male,41.859
estimates,908,1971,male,41.185
estimates,908,1972,male,40.528
estimates,908,1973,male,39.875
estimates,908,1974,male,39.196
estimates,908,1975,male,38.482
estimates,908,1976,male,37.923
estimates,908,1977,male,37.287
estimates,908,1978,male,36.603
estimates,908,1979,male,35.922
estimates,908,1980,male,35.274
estimates,908,1981,male,34.74
estimates,908,1982,male,34.254
estimates,908,1983,male,33.815
estimates,908,1984,male,33.404
estimates,908,1985,male,33.014
estimates,908,1986,male,32.748
estimates,908,1987,male,32.478
estimates,908,1988,male,32.199
estimates,908,1989,male,31.898
estimates,908,1990,male,31.562
estimates,908,1991,male,31.353
estimates,908,1992,male,31.054
estimates,908,1993,male,30.684
estimates,908,1994,male,30.269
estimates,908,1995,male,29.82
estimates,908,1996,male,29.215
estimates,908,1997,male,28.648
estimates,908,1998,male,28.082
estimates,908,1999,male,27.478
estimates,908,2000,male,26.833
estimates,908,2001,male,26.272
estimates,908,2002,male,25.681
estimates,908,2003,male,25.094
estimates,908,2004,male,24.568
estimates,908,2005,male,24.135
estimates,908,2006,male,23.863
estimates,908,2007,male,23.654
estimates,908,2008,male,23.521
estimates,908,2009,male,23.46
estimates,908,2010,male,23.46
estimates,908,2011,male,23.601
estimates,908,2012,male,23.782
estimates,908,2013,male,24.001
estimates,908,2014,male,24.247
estimates,908,2015,male,24.502
medium_variant,908,2015,male,24.502
medium_variant,908,2016,male,24.731
medium_variant,908,2017,male,24.963
medium_variant,908,2018,male,25.179
medium_variant,908,2019,male,25.357
medium_variant,908,2020,male,25.487
medium_variant,908,2021,male,25.592
medium_variant,908,2022,male,25.656
medium_variant,908,2023,male,25.676
medium_variant,908,2024,male,25.657
medium_variant,908,2025,male,25.607
medium_variant,908,2026,male,25.576
medium_variant,908,2027,male,25.505
medium_variant,908,2028,male,25.405
medium_variant,908,2029,male,25.29
medium_variant,908,2030,male,25.172
medium_variant,908,2031,male,25.073
medium_variant,908,2032,male,24.979
medium_variant,908,2033,male,24.892
medium_variant,908,2034,male,24.813
medium_variant,908,2035,male,24.745
medium_variant,908,2036,male,24.732
medium_variant,908,2037,male,24.733
medium_variant,908,2038,male,24.751
medium_variant,908,2039,male,24.789
medium_variant,908,2040,male,24.847
medium_variant,908,2041,male,24.975
medium_variant,908,2042,male,25.112
medium_variant,908,2043,male,25.262
medium_variant,908,2044,male,25.427
medium_variant,908,2045,male,25.606
medium_variant,908,2046,male,25.823
medium_variant,908,2047,male,26.04
medium_variant,908,2048,male,26.254
medium_variant,908,2049,male,26.461
medium_variant,908,2050,male,26.656
