variant,country,year,infantmortalityper1000livebirth
estimates,124,1950,40.097
estimates,124,1951,39.539
estimates,124,1952,38.413
estimates,124,1953,37.272
estimates,124,1954,36.116
estimates,124,1955,34.944
estimates,124,1956,33.759
estimates,124,1957,32.562
estimates,124,1958,31.356
estimates,124,1959,30.149
estimates,124,1960,28.948
estimates,124,1961,27.762
estimates,124,1962,26.6
estimates,124,1963,25.469
estimates,124,1964,24.374
estimates,124,1965,23.318
estimates,124,1966,22.297
estimates,124,1967,21.306
estimates,124,1968,20.34
estimates,124,1969,19.395
estimates,124,1970,18.471
estimates,124,1971,17.565
estimates,124,1972,16.678
estimates,124,1973,15.811
estimates,124,1974,14.966
estimates,124,1975,14.142
estimates,124,1976,13.337
estimates,124,1977,12.555
estimates,124,1978,11.802
estimates,124,1979,11.084
estimates,124,1980,10.413
estimates,124,1981,9.803
estimates,124,1982,9.26
estimates,124,1983,8.786
estimates,124,1984,8.378
estimates,124,1985,8.029
estimates,124,1986,7.73
estimates,124,1987,7.465
estimates,124,1988,7.221
estimates,124,1989,6.989
estimates,124,1990,6.761
estimates,124,1991,6.534
estimates,124,1992,6.312
estimates,124,1993,6.1
estimates,124,1994,5.899
estimates,124,1995,5.717
estimates,124,1996,5.562
estimates,124,1997,5.439
estimates,124,1998,5.349
estimates,124,1999,5.29
estimates,124,2000,5.257
estimates,124,2001,5.244
estimates,124,2002,5.24
estimates,124,2003,5.235
estimates,124,2004,5.224
estimates,124,2005,5.203
estimates,124,2006,5.17
estimates,124,2007,5.128
estimates,124,2008,5.079
estimates,124,2009,5.021
estimates,124,2010,4.951
estimates,124,2011,4.868
estimates,124,2012,4.77
estimates,124,2013,4.658
estimates,124,2014,4.536
estimates,124,2015,4.405
medium_variant,124,2015,4.405
medium_variant,124,2016,4.269
medium_variant,124,2017,4.132
medium_variant,124,2018,3.997
medium_variant,124,2019,3.868
medium_variant,124,2020,3.745
medium_variant,124,2021,3.631
medium_variant,124,2022,3.523
medium_variant,124,2023,3.421
medium_variant,124,2024,3.325
medium_variant,124,2025,3.234
medium_variant,124,2026,3.148
medium_variant,124,2027,3.066
medium_variant,124,2028,2.989
medium_variant,124,2029,2.916
medium_variant,124,2030,2.846
medium_variant,124,2031,2.778
medium_variant,124,2032,2.715
medium_variant,124,2033,2.653
medium_variant,124,2034,2.595
medium_variant,124,2035,2.538
medium_variant,124,2036,2.483
medium_variant,124,2037,2.43
medium_variant,124,2038,2.378
medium_variant,124,2039,2.328
medium_variant,124,2040,2.279
medium_variant,124,2041,2.231
medium_variant,124,2042,2.184
medium_variant,124,2043,2.138
medium_variant,124,2044,2.094
medium_variant,124,2045,2.051
medium_variant,124,2046,2.008
medium_variant,124,2047,1.966
medium_variant,124,2048,1.925
medium_variant,124,2049,1.885
medium_variant,124,2050,1.846
medium_variant,124,2051,1.807
medium_variant,124,2052,1.77
medium_variant,124,2053,1.733
medium_variant,124,2054,1.698
medium_variant,124,2055,1.663
medium_variant,124,2056,1.63
medium_variant,124,2057,1.598
medium_variant,124,2058,1.566
medium_variant,124,2059,1.536
medium_variant,124,2060,1.505
medium_variant,124,2061,1.476
medium_variant,124,2062,1.446
medium_variant,124,2063,1.417
medium_variant,124,2064,1.388
medium_variant,124,2065,1.359
medium_variant,124,2066,1.33
medium_variant,124,2067,1.302
medium_variant,124,2068,1.275
medium_variant,124,2069,1.248
medium_variant,124,2070,1.221
medium_variant,124,2071,1.195
medium_variant,124,2072,1.17
medium_variant,124,2073,1.144
medium_variant,124,2074,1.119
medium_variant,124,2075,1.094
medium_variant,124,2076,1.069
medium_variant,124,2077,1.045
medium_variant,124,2078,1.021
medium_variant,124,2079,0.998
medium_variant,124,2080,0.976
medium_variant,124,2081,0.954
medium_variant,124,2082,0.933
medium_variant,124,2083,0.912
medium_variant,124,2084,0.892
medium_variant,124,2085,0.872
medium_variant,124,2086,0.852
medium_variant,124,2087,0.832
medium_variant,124,2088,0.812
medium_variant,124,2089,0.793
medium_variant,124,2090,0.774
medium_variant,124,2091,0.755
medium_variant,124,2092,0.737
medium_variant,124,2093,0.719
medium_variant,124,2094,0.702
medium_variant,124,2095,0.686
medium_variant,124,2096,0.67
medium_variant,124,2097,0.655
medium_variant,124,2098,0.64
medium_variant,124,2099,0.627
