variant,country,year,infantmortalityper1000livebirth
estimates,156,1950,130.397
estimates,156,1951,129.703
estimates,156,1952,128.632
estimates,156,1953,128.195
estimates,156,1954,128.392
estimates,156,1955,129.196
estimates,156,1956,130.511
estimates,156,1957,132.211
estimates,156,1958,134.05
estimates,156,1959,135.596
estimates,156,1960,136.363
estimates,156,1961,135.867
estimates,156,1962,133.673
estimates,156,1963,129.573
estimates,156,1964,123.679
estimates,156,1965,116.394
estimates,156,1966,108.348
estimates,156,1967,100.321
estimates,156,1968,92.941
estimates,156,1969,86.523
estimates,156,1970,81.182
estimates,156,1971,76.794
estimates,156,1972,72.955
estimates,156,1973,69.343
estimates,156,1974,65.877
estimates,156,1975,62.515
estimates,156,1976,59.264
estimates,156,1977,56.206
estimates,156,1978,53.405
estimates,156,1979,50.883
estimates,156,1980,48.681
estimates,156,1981,46.84
estimates,156,1982,45.363
estimates,156,1983,44.226
estimates,156,1984,43.39
estimates,156,1985,42.815
estimates,156,1986,42.455
estimates,156,1987,42.239
estimates,156,1988,42.083
estimates,156,1989,41.909
estimates,156,1990,41.645
estimates,156,1991,41.236
estimates,156,1992,40.671
estimates,156,1993,39.939
estimates,156,1994,39.018
estimates,156,1995,37.895
estimates,156,1996,36.57
estimates,156,1997,35.08
estimates,156,1998,33.465
estimates,156,1999,31.755
estimates,156,2000,29.972
estimates,156,2001,28.129
estimates,156,2002,26.25
estimates,156,2003,24.364
estimates,156,2004,22.512
estimates,156,2005,20.731
estimates,156,2006,19.049
estimates,156,2007,17.483
estimates,156,2008,16.049
estimates,156,2009,14.765
estimates,156,2010,13.655
estimates,156,2011,12.731
estimates,156,2012,11.98
estimates,156,2013,11.38
estimates,156,2014,10.909
estimates,156,2015,10.542
medium_variant,156,2015,10.542
medium_variant,156,2016,10.251
medium_variant,156,2017,10.007
medium_variant,156,2018,9.784
medium_variant,156,2019,9.561
medium_variant,156,2020,9.325
medium_variant,156,2021,9.073
medium_variant,156,2022,8.819
medium_variant,156,2023,8.572
medium_variant,156,2024,8.332
medium_variant,156,2025,8.1
medium_variant,156,2026,7.877
medium_variant,156,2027,7.665
medium_variant,156,2028,7.464
medium_variant,156,2029,7.274
medium_variant,156,2030,7.093
medium_variant,156,2031,6.922
medium_variant,156,2032,6.757
medium_variant,156,2033,6.598
medium_variant,156,2034,6.443
medium_variant,156,2035,6.291
medium_variant,156,2036,6.141
medium_variant,156,2037,5.992
medium_variant,156,2038,5.847
medium_variant,156,2039,5.704
medium_variant,156,2040,5.565
medium_variant,156,2041,5.431
medium_variant,156,2042,5.303
medium_variant,156,2043,5.181
medium_variant,156,2044,5.067
medium_variant,156,2045,4.96
medium_variant,156,2046,4.861
medium_variant,156,2047,4.768
medium_variant,156,2048,4.681
medium_variant,156,2049,4.599
medium_variant,156,2050,4.521
medium_variant,156,2051,4.446
medium_variant,156,2052,4.373
medium_variant,156,2053,4.301
medium_variant,156,2054,4.231
medium_variant,156,2055,4.161
medium_variant,156,2056,4.091
medium_variant,156,2057,4.024
medium_variant,156,2058,3.958
medium_variant,156,2059,3.894
medium_variant,156,2060,3.832
medium_variant,156,2061,3.771
medium_variant,156,2062,3.711
medium_variant,156,2063,3.653
medium_variant,156,2064,3.596
medium_variant,156,2065,3.54
medium_variant,156,2066,3.487
medium_variant,156,2067,3.436
medium_variant,156,2068,3.387
medium_variant,156,2069,3.34
medium_variant,156,2070,3.296
medium_variant,156,2071,3.253
medium_variant,156,2072,3.212
medium_variant,156,2073,3.171
medium_variant,156,2074,3.131
medium_variant,156,2075,3.091
medium_variant,156,2076,3.052
medium_variant,156,2077,3.013
medium_variant,156,2078,2.974
medium_variant,156,2079,2.936
medium_variant,156,2080,2.898
medium_variant,156,2081,2.862
medium_variant,156,2082,2.826
medium_variant,156,2083,2.791
medium_variant,156,2084,2.756
medium_variant,156,2085,2.723
medium_variant,156,2086,2.69
medium_variant,156,2087,2.658
medium_variant,156,2088,2.626
medium_variant,156,2089,2.595
medium_variant,156,2090,2.564
medium_variant,156,2091,2.533
medium_variant,156,2092,2.503
medium_variant,156,2093,2.473
medium_variant,156,2094,2.443
medium_variant,156,2095,2.414
medium_variant,156,2096,2.384
medium_variant,156,2097,2.356
medium_variant,156,2098,2.328
medium_variant,156,2099,2.3
