variant,country,year,infantmortalityper1000livebirth
estimates,152,1950,122.94
estimates,152,1951,122.94
estimates,152,1952,122.835
estimates,152,1953,122.52
estimates,152,1954,121.994
estimates,152,1955,121.256
estimates,152,1956,120.298
estimates,152,1957,119.112
estimates,152,1958,117.681
estimates,152,1959,115.975
estimates,152,1960,113.96
estimates,152,1961,111.606
estimates,152,1962,108.891
estimates,152,1963,105.812
estimates,152,1964,102.395
estimates,152,1965,98.679
estimates,152,1966,94.719
estimates,152,1967,90.583
estimates,152,1968,86.338
estimates,152,1969,82.03
estimates,152,1970,77.681
estimates,152,1971,73.284
estimates,152,1972,68.822
estimates,152,1973,64.3
estimates,152,1974,59.751
estimates,152,1975,55.181
estimates,152,1976,50.587
estimates,152,1977,46.003
estimates,152,1978,41.498
estimates,152,1979,37.157
estimates,152,1980,33.112
estimates,152,1981,29.498
estimates,152,1982,26.383
estimates,152,1983,23.792
estimates,152,1984,21.72
estimates,152,1985,20.118
estimates,152,1986,18.893
estimates,152,1987,17.908
estimates,152,1988,17.04
estimates,152,1989,16.218
estimates,152,1990,15.399
estimates,152,1991,14.578
estimates,152,1992,13.795
estimates,152,1993,13.077
estimates,152,1994,12.416
estimates,152,1995,11.802
estimates,152,1996,11.224
estimates,152,1997,10.679
estimates,152,1998,10.166
estimates,152,1999,9.686
estimates,152,2000,9.247
estimates,152,2001,8.863
estimates,152,2002,8.544
estimates,152,2003,8.291
estimates,152,2004,8.101
estimates,152,2005,7.967
estimates,152,2006,7.877
estimates,152,2007,7.814
estimates,152,2008,7.761
estimates,152,2009,7.704
estimates,152,2010,7.628
estimates,152,2011,7.523
estimates,152,2012,7.389
estimates,152,2013,7.229
estimates,152,2014,7.044
estimates,152,2015,6.838
medium_variant,152,2015,6.838
medium_variant,152,2016,6.619
medium_variant,152,2017,6.399
medium_variant,152,2018,6.186
medium_variant,152,2019,5.985
medium_variant,152,2020,5.798
medium_variant,152,2021,5.624
medium_variant,152,2022,5.459
medium_variant,152,2023,5.299
medium_variant,152,2024,5.144
medium_variant,152,2025,4.994
medium_variant,152,2026,4.849
medium_variant,152,2027,4.71
medium_variant,152,2028,4.578
medium_variant,152,2029,4.452
medium_variant,152,2030,4.332
medium_variant,152,2031,4.218
medium_variant,152,2032,4.11
medium_variant,152,2033,4.007
medium_variant,152,2034,3.908
medium_variant,152,2035,3.813
medium_variant,152,2036,3.721
medium_variant,152,2037,3.634
medium_variant,152,2038,3.551
medium_variant,152,2039,3.472
medium_variant,152,2040,3.396
medium_variant,152,2041,3.324
medium_variant,152,2042,3.256
medium_variant,152,2043,3.191
medium_variant,152,2044,3.129
medium_variant,152,2045,3.07
medium_variant,152,2046,3.013
medium_variant,152,2047,2.959
medium_variant,152,2048,2.907
medium_variant,152,2049,2.857
medium_variant,152,2050,2.809
medium_variant,152,2051,2.762
medium_variant,152,2052,2.715
medium_variant,152,2053,2.67
medium_variant,152,2054,2.626
medium_variant,152,2055,2.583
medium_variant,152,2056,2.54
medium_variant,152,2057,2.5
medium_variant,152,2058,2.46
medium_variant,152,2059,2.423
medium_variant,152,2060,2.386
medium_variant,152,2061,2.351
medium_variant,152,2062,2.317
medium_variant,152,2063,2.283
medium_variant,152,2064,2.251
medium_variant,152,2065,2.219
medium_variant,152,2066,2.187
medium_variant,152,2067,2.155
medium_variant,152,2068,2.125
medium_variant,152,2069,2.094
medium_variant,152,2070,2.064
medium_variant,152,2071,2.035
medium_variant,152,2072,2.006
medium_variant,152,2073,1.978
medium_variant,152,2074,1.951
medium_variant,152,2075,1.925
medium_variant,152,2076,1.899
medium_variant,152,2077,1.874
medium_variant,152,2078,1.849
medium_variant,152,2079,1.825
medium_variant,152,2080,1.801
medium_variant,152,2081,1.777
medium_variant,152,2082,1.753
medium_variant,152,2083,1.73
medium_variant,152,2084,1.706
medium_variant,152,2085,1.683
medium_variant,152,2086,1.66
medium_variant,152,2087,1.638
medium_variant,152,2088,1.616
medium_variant,152,2089,1.595
medium_variant,152,2090,1.574
medium_variant,152,2091,1.553
medium_variant,152,2092,1.533
medium_variant,152,2093,1.512
medium_variant,152,2094,1.492
medium_variant,152,2095,1.472
medium_variant,152,2096,1.453
medium_variant,152,2097,1.433
medium_variant,152,2098,1.413
medium_variant,152,2099,1.393
