variant,country,year,infantmortalityper1000livebirth
estimates,426,1950,177.115
estimates,426,1951,175.156
estimates,426,1952,171.236
estimates,426,1953,167.314
estimates,426,1954,163.389
estimates,426,1955,159.467
estimates,426,1956,155.57
estimates,426,1957,151.722
estimates,426,1958,147.976
estimates,426,1959,144.422
estimates,426,1960,141.162
estimates,426,1961,138.294
estimates,426,1962,135.904
estimates,426,1963,134.025
estimates,426,1964,132.618
estimates,426,1965,131.604
estimates,426,1966,130.86
estimates,426,1967,130.208
estimates,426,1968,129.483
estimates,426,1969,128.57
estimates,426,1970,127.374
estimates,426,1971,125.848
estimates,426,1972,124.03
estimates,426,1973,121.96
estimates,426,1974,119.641
estimates,426,1975,117.067
estimates,426,1976,114.239
estimates,426,1977,111.204
estimates,426,1978,108.034
estimates,426,1979,104.804
estimates,426,1980,101.621
estimates,426,1981,98.598
estimates,426,1982,95.787
estimates,426,1983,93.211
estimates,426,1984,90.865
estimates,426,1985,88.621
estimates,426,1986,86.288
estimates,426,1987,83.761
estimates,426,1988,81.041
estimates,426,1989,78.243
estimates,426,1990,75.647
estimates,426,1991,73.614
estimates,426,1992,72.416
estimates,426,1993,72.193
estimates,426,1994,72.935
estimates,426,1995,74.549
estimates,426,1996,76.84
estimates,426,1997,79.435
estimates,426,1998,81.959
estimates,426,1999,84.148
estimates,426,2000,85.729
estimates,426,2001,86.503
estimates,426,2002,86.473
estimates,426,2003,85.686
estimates,426,2004,84.163
estimates,426,2005,81.976
estimates,426,2006,79.252
estimates,426,2007,76.2
estimates,426,2008,73.024
estimates,426,2009,69.862
estimates,426,2010,66.825
estimates,426,2011,63.972
estimates,426,2012,61.276
estimates,426,2013,58.721
estimates,426,2014,56.33
estimates,426,2015,54.109
medium_variant,426,2015,54.109
medium_variant,426,2016,52.043
medium_variant,426,2017,50.095
medium_variant,426,2018,48.24
medium_variant,426,2019,46.474
medium_variant,426,2020,44.808
medium_variant,426,2021,43.258
medium_variant,426,2022,41.837
medium_variant,426,2023,40.548
medium_variant,426,2024,39.381
medium_variant,426,2025,38.318
medium_variant,426,2026,37.34
medium_variant,426,2027,36.419
medium_variant,426,2028,35.532
medium_variant,426,2029,34.662
medium_variant,426,2030,33.798
medium_variant,426,2031,32.939
medium_variant,426,2032,32.092
medium_variant,426,2033,31.263
medium_variant,426,2034,30.452
medium_variant,426,2035,29.655
medium_variant,426,2036,28.87
medium_variant,426,2037,28.097
medium_variant,426,2038,27.338
medium_variant,426,2039,26.594
medium_variant,426,2040,25.87
medium_variant,426,2041,25.169
medium_variant,426,2042,24.496
medium_variant,426,2043,23.852
medium_variant,426,2044,23.24
medium_variant,426,2045,22.661
medium_variant,426,2046,22.117
medium_variant,426,2047,21.604
medium_variant,426,2048,21.118
medium_variant,426,2049,20.655
medium_variant,426,2050,20.21
medium_variant,426,2051,19.778
medium_variant,426,2052,19.356
medium_variant,426,2053,18.94
medium_variant,426,2054,18.526
medium_variant,426,2055,18.115
medium_variant,426,2056,17.707
medium_variant,426,2057,17.303
medium_variant,426,2058,16.908
medium_variant,426,2059,16.52
medium_variant,426,2060,16.14
medium_variant,426,2061,15.767
medium_variant,426,2062,15.402
medium_variant,426,2063,15.042
medium_variant,426,2064,14.69
medium_variant,426,2065,14.342
medium_variant,426,2066,13.998
medium_variant,426,2067,13.657
medium_variant,426,2068,13.323
medium_variant,426,2069,12.997
medium_variant,426,2070,12.684
medium_variant,426,2071,12.388
medium_variant,426,2072,12.113
medium_variant,426,2073,11.862
medium_variant,426,2074,11.635
medium_variant,426,2075,11.431
medium_variant,426,2076,11.249
medium_variant,426,2077,11.084
medium_variant,426,2078,10.932
medium_variant,426,2079,10.789
medium_variant,426,2080,10.653
medium_variant,426,2081,10.52
medium_variant,426,2082,10.39
medium_variant,426,2083,10.262
medium_variant,426,2084,10.135
medium_variant,426,2085,10.008
medium_variant,426,2086,9.88
medium_variant,426,2087,9.753
medium_variant,426,2088,9.628
medium_variant,426,2089,9.504
medium_variant,426,2090,9.382
medium_variant,426,2091,9.262
medium_variant,426,2092,9.143
medium_variant,426,2093,9.025
medium_variant,426,2094,8.908
medium_variant,426,2095,8.792
medium_variant,426,2096,8.678
medium_variant,426,2097,8.564
medium_variant,426,2098,8.452
medium_variant,426,2099,8.341
