global,year,variant,gender,age5yearinterval,population
900,1950,estimates,female,0_4,166025.577
900,1950,estimates,male,0_4,172361.578
900,1950,estimates,female,5_9,131697.539
900,1950,estimates,male,5_9,138172.566
900,1950,estimates,female,10_14,127153.579
900,1950,estimates,male,10_14,133433.695
900,1950,estimates,female,15_19,117300.32
900,1950,estimates,male,15_19,122020.264
900,1950,estimates,female,20_24,109662.78
900,1950,estimates,male,20_24,113150.828
900,1950,estimates,female,25_29,98654.617
900,1950,estimates,male,25_29,97706.86
900,1950,estimates,female,30_34,84575.482
900,1950,estimates,male,30_34,84504.024
900,1950,estimates,female,35_39,83092.896
900,1950,estimates,male,35_39,81519.846
900,1950,estimates,female,40_44,74467.957
900,1950,estimates,male,40_44,73223.759
900,1950,estimates,female,45_49,64967.108
900,1950,estimates,male,45_49,63631.031
900,1950,estimates,female,50_54,55144.243
900,1950,estimates,male,50_54,52700.047
900,1950,estimates,female,55_59,46166.262
900,1950,estimates,male,55_59,42606.508
900,1950,estimates,female,60_64,39111.358
900,1950,estimates,male,60_64,34408.724
900,1950,estimates,female,65_69,30104.894
900,1950,estimates,male,65_69,25090.365
900,1950,estimates,female,70_74,20838.345
900,1950,estimates,male,70_74,16592.99
900,1950,estimates,female,75_79,12575.672
900,1950,estimates,male,75_79,9347.713
900,1955,estimates,female,0_4,198529.867
900,1955,estimates,male,0_4,207082.271
900,1955,estimates,female,5_9,154847.614
900,1955,estimates,male,5_9,160981.576
900,1955,estimates,female,10_14,128581.655
900,1955,estimates,male,10_14,134741.085
900,1955,estimates,female,15_19,124743.649
900,1955,estimates,male,15_19,130395.479
900,1955,estimates,female,20_24,114350.238
900,1955,estimates,male,20_24,118248.515
900,1955,estimates,female,25_29,106373.981
900,1955,estimates,male,25_29,109560.031
900,1955,estimates,female,30_34,95418.349
900,1955,estimates,male,30_34,94395.614
900,1955,estimates,female,35_39,81348.935
900,1955,estimates,male,35_39,81159.55
900,1955,estimates,female,40_44,79569.5100000001
900,1955,estimates,male,40_44,77677.966
900,1955,estimates,female,45_49,70553.041
900,1955,estimates,male,45_49,68499.921
900,1955,estimates,female,50_54,61488.209
900,1955,estimates,male,50_54,58841.955
